,Data,Ora,Sec,Latitud.,Longit.,Prof.,Mag,Nf,Gap,Dst,Rms,Erh,Erz,Prof corr,z,Data_subtr,Deltatime,x,y,weight_calc,weights,Classe,Classe_spaziale
59,2011-10-31,1333,49.33,44.5227,9.4695,13.44,2,10,153,14,0.04,1.1,0.9,-13440.0,-13440.0,1989-01-01,8338,5660357.201734487,1282380.76941868,0.16666666666666669,0.16666666666666669,0,0
60,2011-11-01,750,24.22,44.5227,9.5007,14.94,2,8,175,13,0.03,1.8,0.9,-14940.0,-14940.0,1989-01-01,8339,5659863.046599167,1286567.6275349793,0.08333333333333331,0.08333333333333331,0,0
61,2011-11-03,1025,48.49,44.5483,9.454,10.65,2,26,99,17,0.23,1.2,1.5,-10650.0,-10650.0,1989-01-01,8341,5664013.946033677,1280702.1879588442,0.8333333333333333,0.8333333333333333,0,0
62,2011-11-10,1625,31.1,44.5387,9.4475,11.38,2,24,96,16,0.14,1.2,1.1,-11380.0,-11380.0,1989-01-01,8348,5662837.059955923,1279679.0337178844,0.75,0.75,0,0
63,2011-12-23,1641,16.17,44.5312,9.4307,6.0,2,28,92,16,0.21,1.1,1.0,-6000.0,-6000.0,1989-01-01,8391,5662102.417962922,1277306.4891552303,0.9166666666666667,0.9166666666666667,0,0
64,2012-01-18,1038,58.08,44.5452,9.471,4.78,2,16,102,16,0.12,0.8,1.1,-4780.0,-4780.0,1989-01-01,8417,5663331.813059997,1282935.5749496736,0.41666666666666663,0.41666666666666663,0,0
65,2012-02-07,520,6.02,44.542,9.4488,9.1,2,28,97,17,0.13,0.7,0.9,-9100.0,-9100.0,1989-01-01,8437,5663256.375928125,1279905.2865903883,0.9166666666666667,0.9166666666666667,0,0
67,2012-02-19,1411,6.28,44.5633,9.4282,6.53,2,38,96,20,0.4,1.1,1.9,-6530.0,-6530.0,1989-01-01,8449,5666421.143320287,1277473.4449594913,1.3333333333333333,1.0,0,0
69,2012-03-05,1515,6.35,44.557,9.4125,11.27,2,42,98,20,0.29,0.9,1.1,-11270.0,-11270.0,1989-01-01,8464,5665828.586305654,1275266.6851038884,1.5,1.0,0,0
70,2012-03-05,1532,24.42,44.5612,9.4177,11.98,2,16,114,20,0.19,1.3,1.7,-11980.0,-11980.0,1989-01-01,8464,5666306.700203619,1276030.630638945,0.41666666666666663,0.41666666666666663,0,0
71,2012-03-05,1541,26.8,44.5633,9.4255,10.51,2,13,114,20,0.25,1.8,2.3,-10510.0,-10510.0,1989-01-01,8464,5666463.73778712,1277110.8906430725,0.29166666666666663,0.29166666666666663,0,0
73,2012-03-07,1325,44.52,44.559,9.4437,9.14,2,10,149,19,0.14,2.1,2.9,-9140.0,-9140.0,1989-01-01,8466,5665603.106466203,1279487.2557545968,0.16666666666666669,0.16666666666666669,0,0
74,2012-03-07,1936,16.7,44.5515,9.4163,5.36,2,34,97,19,0.23,0.8,1.9,-5360.0,-5360.0,1989-01-01,8466,5665035.403783456,1275690.897108436,1.1666666666666667,1.0,0,0
75,2012-03-12,907,7.89,44.559,9.4022,6.0,2,20,100,23,0.21,1.1,1.7,-6000.0,-6000.0,1989-01-01,8471,5666257.401000975,1273914.87790753,0.5833333333333334,0.5833333333333334,0,0
76,2012-03-15,1610,7.15,44.572,9.4125,5.16,2,12,111,10,0.12,0.9,1.0,-5160.0,-5160.0,1989-01-01,8474,5667828.856989391,1275501.3417683584,0.25,0.25,0,0
77,2012-03-26,657,44.2,44.542,9.4307,3.7,2,20,153,13,0.23,1.4,1.3,-3700.0,-3700.0,1989-01-01,8485,5663541.996702781,1277475.517911848,0.5833333333333334,0.5833333333333334,0,0
78,2012-05-04,1933,25.34,44.5527,9.441,7.11,2,29,97,13,0.21,1.0,0.8,-7110.0,-7110.0,1989-01-01,8524,5664805.86794536,1279025.9418885089,0.9583333333333333,0.9583333333333333,0,0
