,Data,Ora,Sec,Latitud.,Longit.,Prof.,Mag,Nf,Gap,Dst,Rms,Erh,Erz,Prof corr,x,y,z,Data_subtr,Deltatime,weight_calc,weights,Classe,Classe_spaziale
90,2013-10-28,433,27.66,44.6083,9.2593,5.91,2,26,138,3,0.19,0.8,0.6,-5910.0,5675070.560635669,1255482.3016800024,-5910.0,1989-01-01,9066,0.8333333333333333,0.8333333333333333,1,0
91,2013-10-29,2036,28.37,44.6063,9.2645,5.16,2,26,136,2,0.28,1.6,1.1,-5160.0,5674722.673426114,1256150.3526488964,-5160.0,1989-01-01,9067,0.8333333333333333,0.8333333333333333,1,0
92,2013-10-30,1538,48.13,44.6105,9.2358,5.07,2,36,142,5,0.23,1.6,0.8,-5070.0,5675729.108265304,1252357.3814890839,-5070.0,1989-01-01,9068,1.25,1.0,1,0
93,2013-10-30,1613,35.35,44.618,9.2372,5.4,2,12,144,5,0.15,0.9,0.5,-5400.0,5676709.118063069,1252661.134617413,-5400.0,1989-01-01,9068,0.25,0.25,1,0
94,2013-10-31,652,18.75,44.6063,9.254,6.09,2,18,138,3,0.13,1.1,0.7,-6090.0,5674885.818898348,1254739.050808903,-6090.0,1989-01-01,9069,0.5,0.5,1,0
95,2013-11-01,1438,40.52,44.6117,9.2398,5.98,2,18,142,4,0.11,0.8,0.5,-5980.0,5675827.350091862,1252913.5701092617,-5980.0,1989-01-01,9070,0.5,0.5,1,0
96,2013-11-12,2348,1.95,44.6298,9.2412,4.71,2,28,147,5,0.25,0.9,0.5,-4710.0,5678223.2355737,1253380.8481099682,-4710.0,1989-01-01,9081,0.9166666666666667,0.9166666666666667,1,0
97,2013-11-18,1443,0.68,44.6105,9.2358,5.95,2,24,142,5,0.24,1.5,0.9,-5950.0,5675729.108265304,1252357.3814890839,-5950.0,1989-01-01,9087,0.75,0.75,1,0
98,2013-11-25,2253,5.06,44.6127,9.2358,5.87,2,38,125,5,0.26,1.0,0.6,-5870.0,5676022.938039148,1252391.2694239551,-5870.0,1989-01-01,9094,1.3333333333333333,1.0,1,0
99,2013-12-04,1744,16.76,44.6233,9.2358,5.47,2,38,97,5,0.24,0.9,0.6,-5470.0,5677438.768846748,1252554.598611695,-5470.0,1989-01-01,9103,1.3333333333333333,1.0,1,0
100,2013-12-04,1816,5.17,44.6148,9.2412,5.69,2,12,142,4,0.1,0.8,0.6,-5690.0,5676219.662320182,1253149.5465825552,-5690.0,1989-01-01,9103,0.25,0.25,1,0
