,Data,Ora,Sec,Latitud.,Longit.,Prof.,Mag,Nf,Gap,Dst,Rms,Erh,Erz,Prof corr,x,y,z,Deltatime,weight_calc,weights,Classe,Classe_spaziale
1272,2005-10-30,615,23.29,44.0938,6.9723,9.89,2,31,142,0,0.21,0.9,1.3,-9890.0,1337710.177628872,4884307.966219997,-9890.0,6146,1.0416666666666667,1.0,1,5
1278,2005-11-09,1544,15.15,44.0885,6.9658,11.47,2,18,237,0,0.2,1.5,2.6,-11470.0,1337175.2956462686,4883732.115648974,-11470.0,6156,0.5,0.5,1,5
1333,2005-12-19,2049,41.61,44.0938,6.9463,11.0,2,30,203,0,0.24,2.3,2.6,-11000.0,1335628.8546545755,4884359.579498243,-11000.0,6196,1.0,1.0,1,5
1338,2005-12-21,122,42.25,44.1002,6.9463,11.0,2,10,221,0,0.17,1.6,4.3,-11000.0,1335646.5965360089,4885070.454014743,-11000.0,6198,0.16666666666666669,0.16666666666666669,1,5
1344,2005-12-26,30,38.67,44.0852,6.9853,9.36,2,15,258,0,0.21,2.3,2.9,-9360.0,1338727.454296835,4883327.170577903,-9360.0,6203,0.375,0.375,1,5
1540,2006-08-12,1738,18.92,44.096,6.9955,9.63,2,35,111,0,0.33,1.4,2.2,-9630.0,1339573.30954013,4884506.8296595905,-9630.0,6432,1.2083333333333333,1.0,1,5
