,Data,Ora,Sec,Latitud.,Longit.,Prof.,Mag,Nf,Gap,Dst,Rms,Erh,Erz,Prof corr,x,y,z,Deltatime,weight_calc,weights,Classe,Classe_spaziale
253,2008-07-06,307,13.27,44.2417,8.1958,7.06,2,34,125,15,0.3,0.8,1.3,-7060.0,1435812.1735834596,4899050.700078926,-7060.0,7126,1.1666666666666667,1.0,3,0
255,2008-07-06,351,6.73,44.2342,8.2282,2.61,2,18,174,14,0.32,0.9,0.6,-2610.0,1438391.4694198682,4898192.801827343,-2610.0,7126,0.5,0.5,3,0
256,2008-07-06,419,38.87,44.2332,8.2555,6.44,2,10,183,12,0.11,4.1,4.5,-6440.0,1440570.6339325132,4898061.592264946,-6440.0,7126,0.16666666666666669,0.16666666666666669,3,0
257,2008-07-06,457,44.47,44.2182,8.2167,1.0,2,18,176,16,0.28,1.1,0.5,-1000.0,1437456.1268706415,4896424.306652004,-1000.0,7126,0.5,0.5,3,0
258,2008-07-06,500,55.61,44.2267,8.2062,1.75,2,16,170,16,0.22,1.7,0.5,-1750.0,1436626.4992897543,4897376.494801237,-1750.0,7126,0.41666666666666663,0.41666666666666663,3,0
260,2008-07-06,524,35.41,44.2417,8.2243,5.69,2,16,169,13,0.3,1.7,1.1,-5690.0,1438087.8885132207,4899028.798659462,-5690.0,7126,0.41666666666666663,0.41666666666666663,3,0
261,2008-07-06,629,36.14,44.2225,8.214,1.88,2,21,174,15,0.31,1.7,1.7,-1880.0,1437245.018892779,4896903.987931837,-1880.0,7126,0.625,0.625,3,0
263,2008-07-06,739,32.76,44.2182,8.2245,1.31,2,16,178,15,0.17,1.0,0.7,-1310.0,1438079.2019887352,4896418.392744893,-1310.0,7126,0.41666666666666663,0.41666666666666663,3,0
267,2008-07-06,808,19.59,44.2203,8.2297,2.28,2,41,121,15,0.25,0.8,1.4,-2280.0,1438496.7735316544,4896647.73940235,-2280.0,7126,1.4583333333333333,1.0,3,0
268,2008-07-06,829,15.72,44.2353,8.2217,0.82,2,18,171,14,0.36,1.1,0.8,-820.0,1437873.5392213697,4898319.884916811,-820.0,7126,0.5,0.5,3,0
269,2008-07-06,834,32.3,44.2375,8.2347,3.25,2,22,174,13,0.31,1.0,1.0,-3250.0,1438913.9752285143,4898554.488875773,-3250.0,7126,0.6666666666666666,0.6666666666666666,3,0
270,2008-07-06,836,54.31,44.231,8.2322,2.01,2,20,176,14,0.33,1.4,0.7,-2009.9999999999998,1438707.58423753,4897834.36722591,-2009.9999999999998,7126,0.5833333333333334,0.5833333333333334,3,0
271,2008-07-06,852,17.15,44.2203,8.2245,1.0,2,19,178,15,0.22,0.8,0.9,-1000.0,1438081.4049046647,4896651.649145178,-1000.0,7126,0.5416666666666666,0.5416666666666666,3,0
272,2008-07-06,926,20.97,44.246,8.2113,4.54,2,35,134,14,0.32,1.1,2.0,-4540.0,1437054.4326904227,4899516.313116333,-4540.0,7126,1.2083333333333333,1.0,3,0
273,2008-07-06,938,1.06,44.2332,8.227,2.19,2,23,174,14,0.36,1.4,1.0,-2190.0,1438294.5917802362,4898082.628753263,-2190.0,7126,0.7083333333333334,0.7083333333333334,3,0
274,2008-07-06,1004,12.5,44.231,8.2295,3.03,2,21,175,14,0.45,1.9,1.4,-3030.0,1438491.9511425537,4897836.387459691,-3030.0,7126,0.625,0.625,3,0
275,2008-07-06,1015,31.01,44.2267,8.2322,2.41,2,23,178,14,0.33,1.1,1.4,-2410.0,1438703.1175022514,4897356.746211339,-2410.0,7126,0.7083333333333334,0.7083333333333334,3,0
276,2008-07-06,1029,58.87,44.2375,8.2425,5.47,2,21,177,13,0.31,1.2,2.4,-5470.0,1439536.846670924,4898548.711395349,-5470.0,7126,0.625,0.625,3,0
