,Data,Ora,Sec,Latitud.,Longit.,Prof.,Mag,Nf,Gap,Dst,Rms,Erh,Erz,Prof corr,x,y,z,Deltatime,weight_calc,weights,Classe,Classe_spaziale
1236,2005-02-16,1631,15.9,43.9727,7.7955,3.76,2,16,120,0,0.11,0.5,0.4,-3760.0,1403410.9407010726,4869563.208345436,-3760.0,5890,0.41666666666666663,0.41666666666666663,1,1
1241,2005-07-01,1011,56.88,43.963,7.802,4.32,2,20,83,0,0.24,1.1,1.5,-4320.0,1403916.6791765937,4868478.234467797,-4320.0,6025,0.5833333333333334,0.5833333333333334,1,1
1242,2005-07-08,1001,29.4,43.9512,7.8008,5.98,2,18,93,0,0.14,0.8,0.9,-5980.0,1403801.3588817471,4867169.007255912,-5980.0,6032,0.5,0.5,1,1
1249,2005-09-29,1024,25.94,43.947,7.8008,5.98,2,23,97,0,0.2,0.7,0.8,-5980.0,1403794.579729173,4866702.51392079,-5980.0,6115,0.7083333333333334,0.7083333333333334,1,1
1260,2005-10-13,1054,54.61,43.9737,7.7942,2.86,2,16,77,0,0.17,1.3,2.3,-2860.0,1403308.2874216558,4869675.802184778,-2860.0,6129,0.41666666666666663,0.41666666666666663,1,1
1271,2005-10-28,1004,52.45,43.9523,7.8022,5.69,2,13,112,0,0.2,1.5,1.8,-5690.0,1403915.4711671127,4867289.552500363,-5690.0,6144,0.29166666666666663,0.29166666666666663,1,1
1567,2006-10-06,1433,40.84,43.9458,7.8022,5.91,2,12,132,0,0.09,0.9,1.0,-5910.0,1403904.9918796318,4866567.598549478,-5910.0,6487,0.25,0.25,1,1
