,Data,Ora,Sec,Latitud.,Longit.,Prof.,Mag,Nf,Gap,Dst,Rms,Erh,Erz,Prof corr,x,y,z,Deltatime,weight_calc,weights,Classe,Classe_spaziale
1254,2005-10-04,1337,14.9,44.4003,7.2682,12.02,2,57,40,0,0.3,0.7,1.2,-12020.0,1362115.5301578678,4917811.75731359,-12020.0,6120,2.125,1.0,1,3
1257,2005-10-08,2244,22.34,44.3618,7.2868,14.32,2,29,157,0,0.21,1.1,0.8,-14320.0,1363507.266699453,4913504.063577491,-14320.0,6124,0.9583333333333333,0.9583333333333333,1,3
1289,2005-11-21,1516,22.94,44.3628,7.2518,12.35,2,16,170,0,0.35,1.6,1.1,-12350.0,1360720.5689263633,4913674.076537052,-12350.0,6168,0.41666666666666663,0.41666666666666663,1,3
1290,2005-11-22,1043,56.46,44.3628,7.2467,11.82,2,18,173,0,0.31,3.3,0.7,-11820.0,1360314.1685929636,4913682.76371196,-11820.0,6169,0.5,0.5,1,3
1293,2005-11-23,319,3.28,44.3553,7.2558,11.8,2,22,171,0,0.26,1.2,1.3,-11800.0,1361021.5741400537,4912834.194766944,-11800.0,6170,0.6666666666666666,0.6666666666666666,1,3
1295,2005-11-24,144,27.73,44.364,7.2712,11.36,2,22,160,0,0.18,1.2,1.0,-11360.0,1362269.2972528415,4913774.556355639,-11360.0,6171,0.6666666666666666,0.6666666666666666,1,3
1300,2005-11-25,1617,11.73,44.3737,7.2905,10.8,2,12,148,0,0.19,1.7,0.9,-10800.0,1363829.7027996567,4914819.734101014,-10800.0,6172,0.25,0.25,1,3
1312,2005-12-04,1206,42.92,44.3597,7.305,8.96,2,10,164,0,0.04,1.1,1.0,-8960.0,1364952.7547332947,4913240.624710055,-8960.0,6181,0.16666666666666669,0.16666666666666669,1,3
1313,2005-12-04,1227,24.6,44.3532,7.2895,10.6,2,10,155,0,0.06,1.1,0.9,-10600.0,1363702.4751208408,4912544.2953929445,-10600.0,6181,0.16666666666666669,0.16666666666666669,1,3
1314,2005-12-05,530,16.96,44.4025,7.2862,14.01,2,36,104,0,0.36,0.9,2.1,-14010.0,1363554.0845680805,4918025.95895909,-14010.0,6182,1.25,1.0,1,3
1320,2005-12-11,1926,1.0,44.3532,7.3182,6.0,2,16,139,0,0.15,2.4,2.7,-6000.0,1365989.8453178531,4912496.934370147,-6000.0,6188,0.41666666666666663,0.41666666666666663,1,3
1334,2005-12-20,1303,36.39,44.3812,7.2762,8.52,2,10,156,0,0.13,1.1,0.8,-8520.0,1362707.9384804766,4915676.7060840875,-8520.0,6197,0.16666666666666669,0.16666666666666669,1,3
1354,2006-01-08,41,55.52,44.3725,7.3023,10.65,2,22,143,0,0.23,1.2,1.6,-10650.0,1364767.063123717,4914666.881747954,-10650.0,6216,0.6666666666666666,0.6666666666666666,1,3
1414,2006-02-19,738,38.28,44.3715,7.2308,10.23,2,26,177,0,0.32,1.0,1.3,-10230.0,1359068.0323069184,4914676.391090687,-10230.0,6258,0.8333333333333333,0.8333333333333333,1,3
1425,2006-03-24,420,33.27,44.3672,7.288,12.62,2,30,127,0,0.25,2.2,0.9,-12620.0,1363615.4301082834,4914101.886312552,-12620.0,6291,1.0,1.0,1,3
1473,2006-05-05,1242,50.59,44.3672,7.3088,7.48,2,10,150,0,0.11,1.6,2.1,-7480.0,1365272.7807976913,4914067.4512180155,-7480.0,6333,0.16666666666666669,0.16666666666666669,1,3
1478,2006-05-09,1308,20.65,44.3662,7.2842,6.0,2,18,153,0,0.27,1.2,1.8,-6000.0,1363310.3177007614,4913997.144600917,-6000.0,6337,0.5,0.5,1,3
1497,2006-06-06,1804,35.43,44.349,7.2973,16.05,2,38,99,0,0.55,0.9,0.5,-16050.0,1364314.4332083466,4912064.817087063,-16050.0,6365,1.3333333333333333,1.0,1,3
1521,2006-07-04,433,34.65,44.3747,7.2867,11.84,2,26,149,0,0.36,1.3,0.9,-11840.0,1363529.2751203314,4914937.139770004,-11840.0,6393,0.8333333333333333,0.8333333333333333,1,3
1522,2006-07-11,1317,54.27,44.3908,7.2695,13.64,2,56,80,0,0.32,0.8,0.6,-13640.0,1362196.7473101018,4916754.319413481,-13640.0,6400,2.0833333333333335,1.0,1,3
1529,2006-07-15,516,14.42,44.3897,7.2865,11.71,2,26,177,0,0.44,3.3,2.6,-11710.0,1363548.2111061597,4916603.650744449,-11710.0,6404,0.8333333333333333,0.8333333333333333,1,3
1563,2006-10-03,1104,16.32,44.3758,7.2983,8.54,2,16,143,0,0.21,1.3,1.6,-8540.0,1364455.9880608867,4915040.055053354,-8540.0,6484,0.41666666666666663,0.41666666666666663,1,3
1587,2006-10-31,1651,54.31,44.3532,7.2792,12.77,2,45,93,0,0.28,0.9,0.6,-12770.0,1362881.5720299985,4912561.48804577,-12770.0,6512,1.625,1.0,1,3
