,Data,Ora,Sec,Latitud.,Longit.,Prof.,Mag,Nf,Gap,Dst,Rms,Erh,Erz,Prof corr,x,y,z,Deltatime,weight_calc,weights,Classe,Classe_spaziale
1248,2005-09-29,918,13.88,44.3768,7.3982,8.52,2,26,118,0,0.17,0.9,1.0,-8520.0,1372417.0545581453,4914990.591427751,-8520.0,6115,0.8333333333333333,0.8333333333333333,1,2
1255,2005-10-06,944,26.66,44.3737,7.3943,9.03,2,24,120,0,0.15,0.8,1.2,-9030.0,1372099.6003753296,4914652.334089206,-9030.0,6122,0.75,0.75,1,2
1262,2005-10-14,921,30.81,44.3875,7.4032,6.0,2,26,115,0,0.16,0.8,1.1,-6000.0,1372838.5698054445,4916171.349925047,-6000.0,6130,0.8333333333333333,0.8333333333333333,1,2
1268,2005-10-25,930,36.12,44.3768,7.3982,11.36,2,35,85,0,0.21,0.7,0.5,-11360.0,1372417.0545581453,4914990.591427751,-11360.0,6141,1.2083333333333333,1.0,1,2
1281,2005-11-15,1026,50.36,44.3897,7.3617,6.75,2,16,139,0,0.13,0.9,1.9,-6750.0,1369537.8732335062,4916481.033482613,-6750.0,6162,0.41666666666666663,0.41666666666666663,1,2
1346,2005-12-28,1024,1.43,44.3768,7.3775,8.52,2,23,109,0,0.17,0.8,1.0,-8520.0,1370767.9432729809,4915023.059077141,-8520.0,6205,0.7083333333333334,0.7083333333333334,1,2
1399,2006-02-03,5,58.24,44.3693,7.3582,4.69,2,10,166,0,0.1,1.6,2.4,-4690.0,1369213.663309304,4914220.619664412,-4690.0,6242,0.16666666666666669,0.16666666666666669,1,2
1453,2006-04-18,1412,47.26,44.3758,7.371,7.13,2,26,111,0,0.2,0.9,1.3,-7130.0,1370247.8965653148,4914922.2619782705,-7130.0,6316,0.8333333333333333,0.8333333333333333,1,2
1525,2006-07-12,941,32.08,44.3747,7.393,5.82,2,34,85,0,0.24,1.0,1.1,-5820.0,1371998.2073534096,4914765.444001209,-5820.0,6401,1.1666666666666667,1.0,1,2
1532,2006-07-19,1415,12.03,44.3725,7.3957,6.31,2,31,119,0,0.24,0.8,1.3,-6310.0,1372208.5290218904,4914516.854115921,-6310.0,6408,1.0416666666666667,1.0,1,2
1560,2006-09-21,926,37.37,44.3833,7.3877,11.36,2,23,114,0,0.16,1.2,0.9,-11360.0,1371594.7659221624,4915729.017592375,-11360.0,6472,0.7083333333333334,0.7083333333333334,1,2
