,Data,Ora,Sec,Latitud.,Longit.,Prof.,Mag,Nf,Gap,Dst,Rms,Erh,Erz,Prof corr,x,y,z,Deltatime,weight_calc,weights,Classe,Classe_spaziale
1210,2003-04-21,1058,36.56,43.8955,7.8065,5.36,2,19,160,0,0.17,1.2,1.2,-5360.0,1404169.3031561994,4860975.813172367,-5360.0,5223,0.5416666666666666,0.5416666666666666,0,17
1212,2003-04-21,1255,30.54,43.8965,7.8208,5.33,2,29,164,0,0.22,1.2,0.8,-5330.0,1405319.4205707738,4861070.386227072,-5330.0,5223,0.9583333333333333,0.9583333333333333,0,17
1214,2003-04-21,2127,33.91,43.8912,7.7912,5.36,2,26,160,0,0.19,0.8,0.8,-5360.0,1402933.4651969005,4860516.086756149,-5360.0,5223,0.8333333333333333,0.8333333333333333,0,17
1220,2003-09-21,4,3.5,43.8902,7.8208,4.94,2,29,174,0,0.16,0.9,0.6,-4940.0,1405309.4316253967,4860370.652980244,-4940.0,5376,0.9583333333333333,0.9583333333333333,0,17
1227,2004-05-28,1117,18.52,43.8943,7.826,1.0,2,25,90,0,0.2,1.6,1.2,-1000.0,1405733.5884925341,4860820.085699375,-1000.0,5626,0.7916666666666667,0.7916666666666667,0,17
1229,2004-06-27,1047,1.06,43.8902,7.8287,3.43,2,16,94,0,0.13,0.8,0.6,-3430.0,1405943.9913987487,4860361.625269044,-3430.0,5656,0.41666666666666663,0.41666666666666663,0,17
1766,1998-02-17,31,20.26,43.8858,7.8208,5.38,2,33,98,0,0.2,0.8,0.6,-5380.0,1405302.4559023187,4859881.95083497,-5380.0,3334,1.125,1.0,0,17
1772,1998-04-02,1710,44.61,43.9127,7.8115,3.41,2,16,138,0,0.13,1.9,1.5,-3410.0,1404598.3796242361,4862880.409356902,-3410.0,3378,0.41666666666666663,0.41666666666666663,0,17
1801,1999-04-08,134,47.36,43.9243,7.8178,1.0,2,23,123,0,0.19,0.9,0.8,-1000.0,1405122.6780320455,4864161.551175291,-1000.0,3749,0.7083333333333334,0.7083333333333334,0,17
