,Data,Ora,Sec,Latitud.,Longit.,Prof.,Mag,Nf,Gap,Dst,Rms,Erh,Erz,Prof corr,x,y,z,Deltatime,weight_calc,weights,Classe,Classe_spaziale
687,2011-06-12,250,23.02,44.5183,9.4722,12.46,2,51,98,14,0.26,1.3,1.3,-12460.0,1537555.0883512178,4929568.260483564,-12460.0,8197,1.875,1.0,4,0
688,2011-06-12,257,31.96,44.5505,9.454,6.04,2,38,99,17,0.2,1.2,1.4,-6040.0,1536088.7909439725,4933136.85825102,-6040.0,8197,1.3333333333333333,1.0,4,0
689,2011-06-12,424,9.91,44.5462,9.4385,6.0,2,32,95,18,0.24,1.2,1.8,-6000.0,1534860.1784231062,4932652.489271509,-6000.0,8197,1.0833333333333333,1.0,4,0
690,2011-06-12,430,50.63,44.5312,9.4695,11.27,2,32,99,15,0.2,1.2,1.7,-11270.0,1537332.2794880327,4930999.959782127,-11270.0,8197,1.0833333333333333,1.0,4,0
691,2011-06-12,1755,27.1,44.5312,9.467,11.22,2,43,99,15,0.27,1.5,1.5,-11220.0,1537133.6372459452,4930998.822090642,-11220.0,8197,1.5416666666666667,1.0,4,0
695,2011-08-22,1958,22.31,44.5312,9.4513,5.73,2,16,103,16,0.12,1.2,1.3,-5730.0,1535886.1639949984,4930991.816345827,-5730.0,8268,0.41666666666666663,0.41666666666666663,4,0
696,2011-08-24,340,1.6,44.514,9.4643,13.08,2,34,96,13,0.13,0.7,0.5,-13080.0,1536929.952124613,4929087.021191297,-13080.0,8270,1.1666666666666667,1.0,4,0
702,2011-10-06,933,7.53,44.559,9.4878,6.44,2,10,161,18,0.07,1.1,1.6,-6440.0,1538767.9109407489,4934096.51399433,-6440.0,8313,0.16666666666666669,0.16666666666666669,4,0
703,2011-10-06,1116,8.34,44.5268,9.467,12.68,2,30,98,15,0.2,1.1,1.2,-12680.0,1537136.428914527,4930510.068768383,-12680.0,8313,1.0,1.0,4,0
704,2011-10-06,1124,1.31,44.5677,9.4853,6.04,2,10,161,19,0.16,2.7,2.2,-6040.0,1538563.623319423,4935061.736239503,-6040.0,8313,0.16666666666666669,0.16666666666666669,4,0
707,2011-10-18,146,45.49,44.5227,9.4513,12.33,2,30,182,15,0.22,1.7,1.3,-12330.0,1535891.375353199,4930047.634167768,-12330.0,8325,1.0,1.0,4,0
708,2011-10-18,151,47.8,44.5398,9.4697,8.39,2,30,186,16,0.19,0.8,1.4,-8390.0,1537342.6822135018,4931955.342735289,-8390.0,8325,1.0,1.0,4,0
709,2011-10-18,211,48.62,44.5227,9.4695,12.33,2,34,98,14,0.27,1.0,1.1,-12330.0,1537337.7011777011,4930055.777559474,-12330.0,8325,1.1666666666666667,1.0,4,0
710,2011-10-18,257,5.59,44.5558,9.4788,9.96,2,16,125,17,0.13,1.1,1.5,-9960.0,1538055.2218325115,4933736.827755781,-9960.0,8325,0.41666666666666663,0.41666666666666663,4,0
711,2011-10-18,458,42.52,44.5227,9.4982,14.1,2,12,126,13,0.1,1.7,1.1,-14100.0,1539618.4458907926,4930069.273645829,-14100.0,8325,0.25,0.25,4,0
712,2011-10-20,610,52.09,44.5173,9.4838,12.97,2,32,82,13,0.16,0.9,0.8,-12970.0,1538477.6490036878,4929462.56924203,-12970.0,8327,1.0833333333333333,1.0,4,0
713,2011-10-20,616,44.21,44.543,9.4632,9.43,2,32,187,16,0.17,0.9,1.4,-9430.0,1536824.2741818288,4932307.853828742,-9430.0,8327,1.0833333333333333,1.0,4,0
714,2011-10-20,628,48.28,44.559,9.4385,9.36,2,24,190,19,0.17,1.3,1.1,-9360.0,1534852.5499821596,4934074.3228782145,-9360.0,8327,0.75,0.75,4,0
715,2011-10-20,639,13.33,44.5527,9.454,11.44,2,26,189,18,0.13,1.1,1.0,-11440.0,1536087.433446229,4933381.235868562,-11440.0,8327,0.8333333333333333,0.8333333333333333,4,0
717,2011-10-20,918,27.69,44.5227,9.48,14.01,2,18,100,14,0.15,2.2,0.7,-14010.0,1538172.1199543693,4930060.622218474,-14010.0,8327,0.5,0.5,4,0
