,Data,Ora,Sec,Latitud.,Longit.,Prof.,Mag,Nf,Gap,Dst,Rms,Erh,Erz,Prof corr,x,y,z,Deltatime,weight_calc,weights,Classe,Classe_spaziale
241,2000-08-02,515,12.39,44.2117,8.2218,6.0,2,24,183,1,0.13,1.2,1.0,-6000.0,1437856.680394981,4895698.44959706,-6000.0,4231,0.75,0.75,0,3
242,2000-08-03,802,6.05,44.2032,8.2063,5.73,2,24,182,1,0.14,1.0,0.6,-5730.0,1436609.2582039426,4894766.1690000035,-5730.0,4232,0.75,0.75,0,3
243,2000-08-03,935,35.47,44.2075,8.209,5.91,2,24,182,0,0.12,0.8,0.4,-5910.0,1436829.5925339216,4895241.707061285,-5910.0,4232,0.75,0.75,0,3
244,2000-08-03,1030,50.79,44.2182,8.2322,7.81,2,30,131,2,0.3,1.3,0.8,-7810.0,1438694.2889318692,4896412.612690352,-7810.0,4232,1.0,1.0,0,3
245,2000-08-03,1047,16.9,44.216,8.2037,4.85,2,24,118,1,0.15,1.1,0.7,-4850.0,1436415.298661807,4896189.930852543,-4850.0,4232,0.75,0.75,0,3
246,2000-08-03,1059,8.04,44.2342,8.2282,6.95,2,26,172,3,0.2,1.1,1.0,-6950.0,1438391.4694198682,4898192.801827343,-6950.0,4232,0.8333333333333333,0.8333333333333333,0,3
248,2000-08-03,1949,37.97,44.2225,8.2243,7.28,2,22,130,2,0.3,1.1,1.6,-7280.0,1438067.73768947,4896896.163983924,-7280.0,4232,0.6666666666666666,0.6666666666666666,0,3
249,2000-08-04,2228,23.46,44.2288,8.2322,7.68,2,18,288,3,0.15,1.0,0.9,-7680.0,1438705.2988876875,4897590.00294162,-7680.0,4233,0.5,0.5,0,3
250,2003-08-01,2019,14.59,44.2203,8.2297,6.0,2,26,183,2,0.2,0.8,0.8,-6000.0,1438496.7735316544,4896647.73940235,-6000.0,5325,0.8333333333333333,0.8333333333333333,0,3
251,2003-08-02,37,17.3,44.2288,8.2113,5.87,2,30,148,2,0.19,0.8,0.6,-5870.0,1437036.0767135317,4897605.825973127,-5870.0,5326,1.0,1.0,0,3
375,1995-01-06,2119,34.88,44.2095,8.2245,5.02,2,14,266,1,0.1,1.1,0.6,-5020.0,1438070.0765148606,4895452.045700991,-5020.0,2196,0.33333333333333337,0.33333333333333337,0,3
376,1995-01-07,2038,20.5,44.1967,8.2245,5.91,2,12,318,2,0.12,2.0,1.0,-5910.0,1438056.6531435817,4894030.296364741,-5910.0,2197,0.25,0.25,0,3
377,1995-05-27,127,50.44,44.2075,8.2063,5.91,2,16,151,0,0.1,0.7,0.3,-5910.0,1436613.8736034317,4895243.788163765,-5910.0,2337,0.41666666666666663,0.41666666666666663,0,3
