1388563.682000000029802,4868243.037999999709427,-5200
1388784.431000000098720,4869439.216000000014901,-5690
1388142.358000000007451,4868005.718000000342727,-5470
1384859.252000000094995,4872117.254999999888241,-5820
1395797.162999999942258,4863848.053999999538064,-4800
1386527.074000000022352,4872088.434000000357628,-7280
1392685.327999999979511,4865075.321999999694526,-7190
1395192.415999999968335,4866223.944000000134110,-4270
1396637.682999999960884,4865734.639000000432134,-5820
1395792.129999999888241,4864548.038999999873340,-8520
1385480.452000000048429,4871862.042999999597669,-6000
1372645.090000000083819,4874730.025000000372529,-2860
1409112.027000000001863,4855187.196999999694526,-2430
1373210.729999999981374,4879130.250000000000000,-6070
1387128.229999999981374,4870656.038999999873340,-6000
1386408.519000000087544,4871257.197999999858439,-6070
1380379.300000000046566,4869219.110999999567866,-3980
1381535.266000000061467,4871931.518000000156462,-4710
1391153.398999999975786,4867122.303000000305474,-4870
1402935.037999999942258,4860518.048000000417233,-5360
1386682.013000000035390,4867086.178999999538064,-4800
1387524.570000000065193,4868016.182000000029802,-5600
1381751.770000000018626,4871927.644000000320375,-6000
1395485.343000000109896,4864441.771999999880791,-7480
1383794.135999999940395,4868558.332000000402331,-8520
1386693.878000000026077,4866841.552000000141561,-7110
1405288.422000000020489,4856551.440999999642372,-5420
1378561.858000000007451,4874252.018000000156462,-4560
1382662.313000000081956,4869900.434000000357628,-8540
1371194.270999999949709,4874758.138000000268221,-2410
1369950.472000000067055,4874304.709999999962747,-6000
1402085.739999999990687,4859586.239000000059605,-5980
1401990.024999999906868,4860176.440999999642372,-5690
1360748.017999999923632,4886637.634999999776483,-10690
1359304.986000000033528,4886912.782999999821186,-6000
1356010.084999999962747,4888884.266999999992549,-6000
1355596.253000000026077,4890082.385999999940395,-6000
1362624.516000000061467,4887564.963999999687076,-6000
1361995.374000000068918,4887333.657999999821186,-7110
1358375.803000000072643,4887999.491999999620020,-660
1356755.114000000059605,4891857.279000000096858,-13240
1374282.949999999953434,4872309.808000000193715,-4320
1369431.617000000085682,4874426.050999999977648,-19080
1373878.668000000063330,4872561.946999999694526,-6000
1375321.939000000013039,4872534.584999999962747,-4270
1377626.246999999973923,4874391.489000000059605,-12420
1387303.750999999931082,4866831.150000000372529,-6570
1371855.371999999973923,4877834.191999999806285,-19630
1382671.037999999942258,4870844.668999999761581,-5360
1383496.503999999957159,4869885.699000000022352,-10670
1367743.404000000096858,4882215.435999999754131,-6040
1382137.797999999951571,4868832.036999999545515,-8520
1369839.260999999940395,4873951.338000000454485,-2880
1390386.338999999919906,4862968.728000000119209,-8210
1390602.578999999910593,4864876.059999999590218,-7550
1391657.895999999949709,4865580.868999999947846,-7730
1391236.703999999910593,4864865.625000000000000,-7110
1390610.557000000029802,4864387.092000000178814,-8080
1390606.887000000104308,4864164.955000000074506,-7990
1391229.219000000040978,4863921.408999999985099,-5820
1386927.878000000026077,4871137.199000000022352,-17730
1396425.730999999912456,4865015.822999999858439,-4980
