,Data,Ora,Sec,Latitud.,Longit.,Prof.,Mag,Nf,Gap,Dst,Rms,Erh,Erz,Prof corr,x,y,z,Deltatime,weight_calc,weights,Classe,Classe_spaziale
1696,1995-04-21,802,56.49,43.8087,7.5453,12.06,2,42,102,0,0.22,1.0,0.9,-12060.0,1383020.8266910599,4851671.362506504,-12060.0,2301,1.5,1.0,0,18
1697,1995-04-21,1338,6.48,43.8183,7.549,9.96,2,42,99,0,0.21,0.8,0.6,-9960.0,1383337.1348491078,4852732.386958414,-9960.0,2301,1.5,1.0,0,18
1698,1995-04-21,1950,20.94,43.8472,7.5785,10.16,2,19,144,0,7.74,0.9,0.6,-10160.0,1385764.7314693686,4855901.060440946,-10160.0,2301,0.5416666666666666,0.5416666666666666,0,18
1703,1995-05-30,1224,29.44,43.814,7.5492,9.61,2,37,100,0,0.21,0.8,0.6,-9610.0,1383344.8425409296,4852254.513097702,-9610.0,2340,1.2916666666666667,1.0,0,18
1705,1995-07-19,2156,41.63,43.8097,7.5492,10.93,2,35,102,0,0.29,1.0,1.4,-10930.0,1383336.466692063,4851776.921706833,-10930.0,2390,1.2083333333333333,1.0,0,18
1706,1995-07-20,2120,32.42,43.8203,7.5517,9.47,2,20,169,0,0.14,0.6,0.8,-9470.0,1383558.1611273775,4852950.717247351,-9470.0,2391,0.5833333333333334,0.5833333333333334,0,18
1707,1995-08-13,1321,23.66,43.815,7.5555,9.72,2,32,101,0,0.24,0.9,1.1,-9720.0,1383853.470750757,4852356.713700421,-9720.0,2415,1.0833333333333333,1.0,0,18
1750,1997-07-08,1845,40.42,43.8225,7.549,9.43,2,47,160,0,0.21,0.6,0.8,-9430.0,1383345.3183226886,4853198.872230153,-9430.0,3110,1.7083333333333333,1.0,0,18
1863,2000-09-16,903,1.87,43.8343,7.5605,2.81,2,18,252,6,0.18,1.7,0.6,-2810.0,1384292.907698406,4854493.31563243,-2810.0,4276,0.5,0.5,0,18
1872,2001-02-23,1524,46.06,43.8365,7.5578,4.94,2,12,254,6,0.07,0.6,0.4,-4940.0,1384080.090796607,4854741.44810967,-4940.0,4436,0.25,0.25,0,18
