,Data,Ora,Sec,Latitud.,Longit.,Prof.,Mag,Nf,Gap,Dst,Rms,Erh,Erz,Prof corr,x,y,z,Deltatime,weight_calc,weights,Classe,Classe_spaziale
1873,2001-11-19,1332,0.25,43.8355,7.5282,7.13,2,6,309,8,0.01,7.5,2.9,-7130.0,1381698.3753905098,4854672.312149855,-7130.0,4705,0.0,0.0,0,18
1874,2001-11-28,845,11.26,43.8397,7.5643,5.89,2,6,304,5,0.03,2.4,1.2,-5890.0,1384608.8395950662,4855087.772388375,-5890.0,4714,0.0,0.0,0,18
1875,2002-01-02,1601,15.83,43.8408,7.5552,4.14,2,6,304,6,0.02,3.9,1.4,-4140.0,1383879.4050719761,4855222.690658296,-4140.0,4749,0.0,0.0,0,18
1877,2003-04-23,1325,7.5,43.845,7.5655,5.91,2,6,301,5,0.02,5.8,1.9,-5910.0,1384715.5236998613,4855674.759911622,-5910.0,5225,0.0,0.0,0,18
1879,2004-05-07,856,1.8,43.8537,7.581,5.73,2,10,240,3,0.05,1.1,0.6,-5730.0,1385978.079176102,4856619.552795651,-5730.0,5605,0.16666666666666669,0.16666666666666669,0,18
1881,2004-09-22,1218,47.33,43.829,7.5308,3.28,2,8,259,8,0.03,1.0,0.7,-3280.0,1381894.5834365585,4853946.651633625,-3280.0,5743,0.08333333333333331,0.08333333333333331,0,18
1898,1995-04-21,802,56.45,43.8162,7.5568,13.81,2,36,100,8,0.19,1.1,1.0,-13810.0,1383960.3491682212,4852488.170143941,-13810.0,2301,1.25,1.0,0,18
1899,1995-04-21,811,2.56,43.8215,7.5452,9.1,2,27,160,8,0.14,0.7,0.8,-9100.0,1383037.7863083885,4853093.172208225,-9100.0,2301,0.875,0.875,0,18
1900,1995-04-21,824,50.74,43.8322,7.558,9.5,2,27,154,6,0.17,0.6,0.4,-9500.0,1384087.8416357248,4854263.574602026,-9500.0,2301,0.875,0.875,0,18
1902,1995-04-21,1321,12.22,43.8408,7.5758,9.14,2,20,247,5,0.11,1.0,0.4,-9140.0,1385535.454701738,4855193.958625621,-9140.0,2301,0.5833333333333334,0.5833333333333334,0,18
1903,1995-04-21,1338,7.17,43.8515,7.5732,8.21,2,26,240,4,0.16,0.8,0.8,-8210.0,1385346.9490351416,4856385.993511285,-8210.0,2301,0.8333333333333333,0.8333333333333333,0,18
1905,1995-04-21,1950,20.9,43.8493,7.5758,10.29,2,18,242,4,0.08,0.8,0.5,-10290.0,1385551.7178839357,4856138.039324671,-10290.0,2301,0.5,0.5,0,18
1906,1995-04-21,2129,3.28,43.8408,7.5603,9.58,2,34,93,5,0.16,0.7,0.5,-9580.0,1384289.3979996766,4855215.538950045,-9580.0,2301,1.1666666666666667,1.0,0,18
1907,1995-04-22,1511,51.44,43.8493,7.5732,8.48,2,18,242,4,0.14,1.1,0.5,-8480.0,1385342.7316413815,4856141.642985807,-8480.0,2302,0.5,0.5,0,18
1908,1995-04-22,1547,16.88,43.8408,7.5707,9.32,2,16,248,5,0.07,0.7,0.3,-9320.0,1385125.4618902917,4855201.033457947,-9320.0,2302,0.41666666666666663,0.41666666666666663,0,18
1909,1995-04-24,151,32.71,43.8537,7.581,10.12,2,17,240,3,0.13,1.3,0.5,-10120.0,1385978.079176102,4856619.552795651,-10120.0,2304,0.45833333333333337,0.45833333333333337,0,18
1910,1995-04-29,1030,23.38,43.8172,7.553,8.61,2,24,261,8,0.17,1.0,0.5,-8610.0,1383656.6815940088,4852604.577052596,-8610.0,2309,0.75,0.75,0,18
1911,1995-05-05,851,18.46,43.8258,7.5607,8.96,2,14,260,7,0.1,1.3,0.8,-8960.0,1384292.556471075,4853548.957102359,-8960.0,2315,0.33333333333333337,0.33333333333333337,0,18
1912,1995-05-30,1224,30.04,43.8408,7.5758,9.89,2,24,247,5,0.15,0.9,0.4,-9890.0,1385535.454701738,4855193.958625621,-9890.0,2340,0.75,0.75,0,18
1916,1995-08-13,1321,24.09,43.8322,7.5735,9.89,2,20,252,6,0.12,0.8,0.5,-9890.0,1385334.0774788584,4854241.9598798845,-9890.0,2415,0.5833333333333334,0.5833333333333334,0,18
1918,1996-07-21,1544,14.33,43.843,7.5707,10.2,2,24,245,5,0.15,0.7,0.5,-10200.0,1385129.6860168993,4855445.38365233,-10200.0,2758,0.75,0.75,0,18
1919,1996-08-12,1635,49.93,43.845,7.5733,9.89,2,24,245,5,0.17,1.0,0.8,-9890.0,1385342.5275550247,4855663.910309613,-9890.0,2780,0.75,0.75,0,18
1920,1997-07-08,1845,40.98,43.843,7.5733,9.32,2,28,245,5,0.13,0.7,0.4,-9320.0,1385338.6942792023,4855441.773702912,-9320.0,3110,0.9166666666666667,0.9166666666666667,0,18
1921,1997-12-10,2136,57.14,43.815,7.5452,11.0,2,57,164,9,0.27,0.7,0.7,-11000.0,1383025.0887344459,4852371.230919618,-11000.0,3265,2.125,1.0,0,18
1922,1998-07-24,1507,57.03,43.8397,7.5695,10.14,2,22,248,5,0.11,0.7,0.3,-10140.0,1385026.8792150007,4855080.526733734,-10140.0,3491,0.6666666666666666,0.6666666666666666,0,18
