,Data,Ora,Sec,Latitud.,Longit.,Prof.,Mag,Nf,Gap,Dst,Rms,Erh,Erz,Prof corr,x,y,z,Deltatime,weight_calc,weights,Classe,Classe_spaziale
900,2005-04-24,1035,47.85,44.4218,9.8482,8.08,2,14,157,3,0.08,1.0,0.7,-8080.0,1567548.6239845704,4919090.412048569,-8080.0,5957,0.33333333333333337,0.33333333333333337,1,0
904,2006-01-12,335,56.99,44.4218,9.8767,9.01,2,14,157,4,0.05,0.8,0.4,-9010.0,1569817.38484259,4919114.307793004,-9010.0,6220,0.33333333333333337,0.33333333333333337,1,0
906,2006-04-07,626,37.33,44.4112,9.8688,9.41,2,12,152,3,0.11,3.3,0.9,-9410.0,1569200.991688562,4917930.174711233,-9410.0,6305,0.25,0.25,1,0
907,2006-04-07,746,23.39,44.4497,9.8457,8.12,2,12,177,7,0.08,0.6,0.4,-8119.999999999999,1567317.5949766627,4922187.448614433,-8119.999999999999,6305,0.25,0.25,1,0
1437,2006-04-05,939,9.43,44.4218,9.8612,7.73,2,50,105,0,0.26,0.8,0.7,-7730.0,1568583.4973121365,4919101.213861735,-7730.0,6303,1.8333333333333335,1.0,1,0
1439,2006-04-07,735,41.56,44.4325,9.8587,6.26,2,87,61,0,0.32,0.8,0.7,-6260.0,1568372.0181676082,4920287.663960058,-6260.0,6305,3.375,1.0,1,0
1440,2006-04-07,1401,16.42,44.4305,9.8638,8.21,2,93,55,0,0.35,0.8,0.5,-8210.0,1568780.276818675,4920069.7769148545,-8210.0,6305,3.625,1.0,1,0
