,Data,Ora,Sec,Latitud.,Longit.,Prof.,Mag,Nf,Gap,Dst,Rms,Erh,Erz,Prof corr,x,y,z,Deltatime,weight_calc,weights,Classe,Classe_spaziale
197,1987-04-02,1117,34.86,44.3318,8.247,1.97,2,10,271,14,0.07,1.0,0.7,-1970.0,1439992.3614699594,4909019.844983185,-1970.0,-640,0.16666666666666669,0.16666666666666669,8,1
200,1987-07-14,1211,54.12,44.319,8.2342,2.1,2,7,266,12,0.04,4.9,2.1,-2100.0,1438958.562773171,4907607.522650632,-2100.0,-537,0.041666666666666685,0.041666666666666685,8,1
201,1987-08-04,935,9.35,44.3415,8.2638,1.2,2,8,275,15,0.07,2.6,1.8,-1200.0,1441341.4661646995,4910085.1186011275,-1200.0,-516,0.08333333333333331,0.08333333333333331,8,1
204,1988-02-09,1314,55.77,44.334,8.2445,1.26,2,10,270,14,0.06,1.0,0.8,-1260.0,1439795.295304536,4909266.048126135,-1260.0,-327,0.16666666666666669,0.16666666666666669,8,1
286,1987-06-04,951,13.39,44.3275,8.2757,2.5,2,6,280,14,0.04,6.9,8.5,-2500.0,1442276.3231466513,4908521.590788541,-2500.0,-577,0.0,0.0,8,1
