,Data,Ora,Sec,Latitud.,Longit.,Prof.,Mag,Nf,Gap,Dst,Rms,Erh,Erz,Prof corr,x,y,z,Deltatime,weight_calc,weights,Classe,Classe_spaziale
0,2000-05-30,21,50.4,44.1132,7.9352,6.97,2,16,98,10,0.3,1.6,2.2,-6970.0,1414818.401228581,4885014.597659177,-6970.0,4167,0.41666666666666663,0.41666666666666663,0,0
1,2000-05-30,231,48.87,44.1088,7.93,6.0,2,12,124,11,0.16,0.7,0.9,-6000.0,1414395.9235504926,4884531.27629283,-6000.0,4167,0.25,0.25,0,0
2,2000-05-30,2351,30.03,44.111,7.9325,11.36,2,16,99,11,0.29,1.0,1.1,-11360.0,1414599.1674045818,4884773.0374722285,-11360.0,4167,0.41666666666666663,0.41666666666666663,0,0
3,2000-05-31,50,37.9,44.112,7.9002,6.11,2,16,115,20,0.17,1.2,1.8,-6110.0,1412015.7971216699,4884918.153719907,-6110.0,4168,0.41666666666666663,0.41666666666666663,0,0
4,2000-05-31,2221,5.6,44.112,7.9002,5.76,2,20,92,13,0.16,0.8,1.3,-5760.0,1412015.7971216699,4884918.153719907,-5760.0,4168,0.5833333333333334,0.5833333333333334,0,0
5,2000-06-01,339,53.2,44.1098,7.9183,5.53,2,19,97,12,0.2,1.0,0.9,-5530.0,1413461.0393826081,4884654.591737031,-5530.0,4169,0.5416666666666666,0.5416666666666666,0,0
6,2000-06-01,1043,9.97,44.1098,7.9338,8.54,2,14,100,11,0.29,0.7,0.9,-8540.0,1414701.474638268,4884638.40131802,-8540.0,4169,0.33333333333333337,0.33333333333333337,0,0
7,2000-06-01,1439,34.57,44.1132,7.8988,5.87,2,12,115,20,0.11,1.3,1.8,-5870.0,1411905.545856621,4885052.939556589,-5870.0,4169,0.25,0.25,0,0
8,2000-06-01,1615,13.19,44.1132,7.9325,6.0,2,18,98,11,0.31,0.9,1.3,-6000.0,1414602.337819425,4885017.3974546455,-6000.0,4169,0.5,0.5,0,0
9,2000-06-02,27,46.12,44.1132,7.9352,7.42,2,19,98,10,0.26,1.0,1.8,-7420.0,1414818.401228581,4885014.597659177,-7420.0,4170,0.5416666666666666,0.5416666666666666,0,0
10,2000-06-02,41,11.93,44.111,7.904,6.0,2,16,116,21,0.16,1.5,1.8,-6000.0,1412318.4130697506,4884803.023191594,-6000.0,4170,0.41666666666666663,0.41666666666666663,0,0
11,2000-06-02,722,40.6,44.1132,7.904,6.0,2,16,116,20,0.15,1.3,1.6,-6000.0,1412321.668122339,4885047.383248519,-6000.0,4170,0.41666666666666663,0.41666666666666663,0,0
12,2000-06-02,806,6.64,44.1282,7.9453,12.55,2,14,90,10,0.22,1.2,0.9,-12550.0,1415647.9989988082,4886670.280213095,-12550.0,4170,0.33333333333333337,0.33333333333333337,0,0
13,2000-06-03,745,0.05,44.111,7.9118,4.67,2,10,119,13,0.12,0.9,0.6,-4670.0,1412942.6195886207,4884794.738059189,-4670.0,4171,0.16666666666666669,0.16666666666666669,0,0
15,2000-06-05,953,3.45,44.1207,7.8898,6.11,2,10,112,12,0.08,0.8,1.0,-6110.0,1411196.5757125688,4885895.664851849,-6110.0,4173,0.16666666666666669,0.16666666666666669,0,0
16,2000-06-05,1321,24.32,44.1098,7.9132,5.45,2,20,96,12,0.15,0.6,0.5,-5450.0,1413052.8961245138,4884659.969995271,-5450.0,4173,0.5833333333333334,0.5833333333333334,0,0
