,Data,Ora,Sec,Latitud.,Longit.,Prof.,Mag,Nf,Gap,Dst,Rms,Erh,Erz,Prof corr,x,y,z,Deltatime,weight_calc,weights,Classe,Classe_spaziale
992,2003-10-04,2304,54.77,44.1775,10.1237,8.52,2,16,165,12,0.21,0.8,0.6,-8520.0,1589851.6244681738,4892218.55724405,-8520.0,5389,0.41666666666666663,0.41666666666666663,0,11
1061,1995-07-06,652,12.05,44.157,10.1247,8.46,2,6,210,22,0.02,6.7,4.2,-8460.0,1589962.6987724132,4889942.6364931725,-8460.0,2377,0.0,0.0,0,11
1094,1996-06-29,1153,58.04,44.1828,10.1145,7.3,2,6,163,6,0.02,2.7,1.6,-7300.0,1589108.2279302732,4892797.241381081,-7300.0,2736,0.0,0.0,0,11
1097,1996-07-12,900,3.92,44.1817,10.121,6.62,2,7,163,5,0.02,1.7,0.7,-6620.0,1589629.4355701897,4892682.122516233,-6620.0,2749,0.041666666666666685,0.041666666666666685,0,11
1098,1996-07-12,1404,35.21,44.1538,10.1233,8.83,2,6,172,3,0.01,6.2,2.7,-8830.0,1589855.6020334042,4889585.671287598,-8830.0,2749,0.0,0.0,0,11
1106,1996-12-14,30,31.0,44.156,10.1337,7.68,2,7,295,2,0.02,2.0,0.8,-7680.0,1590683.9091016208,4889841.441874447,-7680.0,2904,0.041666666666666685,0.041666666666666685,0,11
