,Data,Ora,Sec,Latitud.,Longit.,Prof.,Mag,Nf,Gap,Dst,Rms,Erh,Erz,Prof corr,x,y,z,Deltatime,weight_calc,weights,Classe,Classe_spaziale
383,2000-11-28,332,8.89,44.6105,8.565,9.63,2,12,268,8,0.18,3.5,2.9,-9630.0,1465510.5192374159,4939793.815662937,-9630.0,4349,0.25,0.25,0,5
389,2002-01-10,1126,42.27,44.5667,8.5822,13.55,2,20,196,4,0.16,1.4,0.7,-13550.0,1466850.3948946367,4934921.309650649,-13550.0,4757,0.5833333333333334,0.5833333333333334,0,5
392,2002-04-05,1308,29.97,44.5667,8.5717,10.01,2,42,122,4,0.26,0.7,0.6,-10010.0,1466016.6045899785,4934925.63339457,-10010.0,4842,1.5,1.0,0,5
396,2002-08-30,513,43.6,44.5848,8.6197,10.38,2,20,254,8,0.23,1.6,0.7,-10380.0,1469837.5921093496,4936917.312477057,-10380.0,4989,0.5833333333333334,0.5833333333333334,0,5
404,2004-09-09,2256,4.22,44.5912,8.573,10.78,2,28,134,6,0.18,1.0,0.5,-10780.0,1466134.0832255804,4937646.583010243,-10780.0,5730,0.9166666666666667,0.9166666666666667,0,5
535,1995-03-17,2215,42.22,44.542,8.5938,13.35,2,8,311,4,0.05,2.3,2.8,-13350.0,1467757.8760429348,4932172.962530333,-13350.0,2266,0.08333333333333331,0.08333333333333331,0,5
554,1997-03-20,729,42.86,44.5462,8.5575,9.32,2,10,328,1,0.11,2.8,1.6,-9320.0,1464876.6536490617,4932654.494458108,-9320.0,3000,0.16666666666666669,0.16666666666666669,0,5
563,1998-03-01,509,7.4,44.5677,8.6223,10.91,2,20,293,7,0.2,2.5,1.5,-10910.0,1470035.1939379799,4935016.864837971,-10910.0,3346,0.5833333333333334,0.5833333333333334,0,5
566,1998-05-27,1312,4.91,44.572,8.5678,11.44,2,22,229,4,0.23,2.5,1.8,-11440.0,1465710.030115823,4935515.996339306,-11440.0,3433,0.6666666666666666,0.6666666666666666,0,5
567,1998-05-28,1203,52.94,44.5742,8.5887,11.0,2,20,291,5,0.17,2.4,1.2,-11000.0,1467370.751374287,4935751.794933845,-11000.0,3434,0.5833333333333334,0.5833333333333334,0,5
568,1998-06-06,123,12.6,44.5633,8.6147,14.59,2,36,129,6,0.31,1.1,1.1,-14590.0,1469429.390483878,4934530.930939925,-14590.0,3443,1.25,1.0,0,5
