,Data,Ora,Sec,Latitud.,Longit.,Prof.,Mag,Nf,Gap,Dst,Rms,Erh,Erz,Prof corr,x,y,z,Deltatime,weight_calc,weights,Classe,Classe_spaziale
1180,2001-10-05,1902,38.01,43.8665,7.728,5.6,2,30,152,0,0.19,0.8,0.7,-5600.0,1397814.8331216553,4857848.916529558,-5600.0,4660,1.0,1.0,0,16
1183,2001-11-18,207,14.47,43.8752,7.746,5.42,2,27,156,0,0.16,0.7,0.5,-5420.0,1399275.904160391,4858793.107650262,-5420.0,4704,0.875,0.875,0,16
1753,1997-09-05,857,17.97,43.8697,7.7397,6.51,2,71,83,0,0.28,0.7,0.5,-6510.0,1398760.4184326986,4858189.931686667,-6510.0,3169,2.7083333333333335,1.0,0,16
1754,1997-09-16,1310,33.11,43.8858,7.7512,4.27,2,31,76,0,0.18,0.9,1.1,-4270.0,1399711.4890477455,4859964.108088535,-4270.0,3180,1.0416666666666667,1.0,0,16
1756,1997-09-26,1223,14.43,43.8687,7.7435,6.35,2,54,87,0,0.26,0.7,0.4,-6350.0,1399064.06607888,4858074.2136853915,-6350.0,3190,2.0,1.0,0,16
1757,1997-09-26,1508,17.27,43.8687,7.7435,7.46,2,50,87,0,0.26,0.8,0.7,-7460.0,1399064.06607888,4858074.2136853915,-7460.0,3190,1.8333333333333335,1.0,0,16
1768,1998-02-27,1034,0.69,43.8772,7.7408,6.0,2,48,76,0,0.27,1.0,0.8,-6000.0,1398861.4990496174,4859021.598310629,-6000.0,3344,1.75,1.0,0,16
1769,1998-02-27,1059,57.73,43.873,7.7487,5.95,2,47,86,0,0.25,0.7,0.5,-5950.0,1399489.133531834,4858545.468324083,-5950.0,3344,1.7083333333333333,1.0,0,16
1777,1998-10-06,2246,8.37,43.8987,7.7535,2.86,2,18,132,0,0.15,1.0,0.9,-2860.0,1399917.868602476,4861394.106153366,-2860.0,3565,0.5,0.5,0,16
1808,1999-10-20,700,43.67,43.8955,7.7445,2.88,2,14,130,0,0.13,1.1,0.6,-2880.0,1399189.6520315753,4861049.633249564,-2880.0,3944,0.33333333333333337,0.33333333333333337,0,16
