,Data,Ora,Sec,Latitud.,Longit.,Prof.,Mag,Nf,Gap,Dst,Rms,Erh,Erz,Prof corr,x,y,z,Deltatime,weight_calc,weights,Classe,Classe_spaziale
1667,1992-12-01,141,58.32,44.037,7.6602,4.47,2,46,69,0,0.25,0.6,0.5,-4470.0,1392674.1780199362,4876872.461200152,-4470.0,1430,1.6666666666666667,1.0,11,2
1668,1992-12-01,326,16.06,44.0467,7.6615,4.01,2,42,68,0,0.27,0.9,0.6,-4010.0,1392795.8475753013,4877948.164384148,-4010.0,1430,1.5,1.0,11,2
1673,1993-08-06,1817,52.68,44.0585,7.6497,3.67,2,32,88,0,0.14,0.5,0.5,-3670.0,1391871.9952179247,4879274.242446062,-3670.0,1678,1.0833333333333333,1.0,11,2
1674,1993-08-07,1414,14.99,44.0702,7.6508,3.87,2,11,174,0,0.09,0.9,0.4,-3870.0,1391981.3943949817,4880572.343339524,-3870.0,1679,0.20833333333333331,0.20833333333333331,11,2
1675,1993-08-08,213,29.44,44.053,7.6562,5.51,2,37,73,0,0.27,0.7,0.6,-5510.0,1392382.6620692054,4878654.830576446,-5510.0,1680,1.2916666666666667,1.0,11,2
1677,1993-12-03,429,52.39,44.0327,7.6655,5.98,2,27,98,0,0.21,0.7,0.9,-5980.0,1393091.1129756463,4876387.960836363,-5980.0,1797,0.875,0.875,11,2
1678,1993-12-11,1350,57.0,44.0358,7.659,5.47,2,50,69,0,0.31,0.6,0.6,-5470.0,1392575.8567491593,4876740.739490629,-5470.0,1805,1.8333333333333335,1.0,11,2
1681,1994-02-06,44,31.63,44.0273,7.6642,6.0,2,16,100,0,0.13,0.6,0.9,-6000.0,1392977.217610716,4875789.862447233,-6000.0,1862,0.41666666666666663,0.41666666666666663,11,2
1683,1994-02-15,1434,48.35,44.0595,7.6872,3.56,2,26,88,0,0.17,0.8,1.0,-3560.0,1394877.4240325477,4879336.751308317,-3560.0,1871,0.8333333333333333,0.8333333333333333,11,2
