,Data,Ora,Sec,Latitud.,Longit.,Prof.,Mag,Nf,Gap,Dst,Rms,Erh,Erz,Prof corr,x,y,z,Deltatime,weight_calc,weights,Classe,Classe_spaziale
380,2000-06-04,2051,38.0,44.4025,8.6488,3.96,2,14,150,17,0.14,2.2,2.7,-3960.0,1472060.5904615098,4916657.14373972,-3960.0,4172,0.33333333333333337,0.33333333333333337,0,4
529,1994-11-20,231,16.56,44.4047,8.597,2.24,2,10,241,16,0.11,2.0,2.8,-2240.0,1467936.8738560416,4916920.528324954,-2240.0,2149,0.16666666666666669,0.16666666666666669,0,4
532,1994-12-09,1512,57.0,44.4122,8.6242,5.93,2,14,250,16,0.17,2.0,2.6,-5930.0,1470106.6012582579,4917743.303585702,-5930.0,2168,0.33333333333333337,0.33333333333333337,0,4
539,1995-05-25,1116,21.59,44.4015,8.6372,5.36,2,10,253,17,0.12,2.4,3.4,-5360.0,1471136.370579798,4916550.097000864,-5360.0,2335,0.16666666666666669,0.16666666666666669,0,4
541,1995-07-12,2105,27.01,44.4015,8.6165,4.03,2,14,247,17,0.13,1.8,2.2,-4030.0000000000005,1469487.9670204206,4916557.615468458,-4030.0000000000005,2383,0.33333333333333337,0.33333333333333337,0,4
542,1995-11-19,222,47.21,44.4047,8.6645,5.78,2,12,260,18,0.19,2.7,3.1,-5780.0,1473311.8097914169,4916896.267532018,-5780.0,2513,0.25,0.25,0,4
547,1996-07-30,428,4.62,44.4068,8.6488,5.56,2,22,137,17,0.23,1.4,0.8,-5560.0,1472062.6410626376,4917134.778491335,-5560.0,2767,0.6666666666666666,0.6666666666666666,0,4
548,1996-08-16,616,30.95,44.4068,8.6488,5.82,2,24,137,17,0.17,0.9,0.7,-5820.0,1472062.6410626376,4917134.778491335,-5820.0,2784,0.75,0.75,0,4
561,1997-11-03,1335,24.18,44.3972,8.6113,2.26,2,24,245,17,0.17,1.2,1.4,-2260.0,1469071.606155561,4916081.935300712,-2260.0,3228,0.75,0.75,0,4
562,1997-12-24,802,9.4,44.3972,8.6113,5.53,2,22,245,17,0.26,2.5,2.9,-5530.0,1469071.606155561,4916081.935300712,-5530.0,3279,0.6666666666666666,0.6666666666666666,0,4
