,Data,Ora,Sec,Latitud.,Longit.,Prof.,Mag,Nf,Gap,Dst,Rms,Erh,Erz,Prof corr,x,y,z,Deltatime,weight_calc,weights,Classe,Classe_spaziale
1410,2006-02-16,1738,57.98,43.9952,7.6103,5.78,2,55,49,0,0.27,0.5,0.4,-5780.0,1388597.5781089144,4872295.9082493745,-5780.0,6255,2.0416666666666665,1.0,1,7
1432,2006-04-02,734,5.02,44.0252,7.6203,6.0,2,27,69,0,0.23,0.6,0.6,-6000.0,1389455.1814041855,4875614.580070685,-6000.0,6300,0.875,0.875,1,7
1433,2006-04-02,938,40.19,44.0273,7.615,6.22,2,26,71,0,0.24,0.7,1.0,-6220.0,1389034.3463812065,4875854.955567149,-6220.0,6300,0.8333333333333333,0.8333333333333333,1,7
1434,2006-04-02,939,32.23,44.0252,7.6203,8.52,2,31,58,0,0.29,0.8,0.4,-8520.0,1389455.1814041855,4875614.580070685,-8520.0,6300,1.0416666666666667,1.0,1,7
1444,2006-04-15,7,47.75,44.0488,7.6355,6.0,2,40,50,0,0.24,0.7,0.7,-6000.0,1390716.7605958933,4878215.589972855,-6000.0,6313,1.4166666666666667,1.0,1,7
1454,2006-04-19,104,10.38,44.0358,7.602,6.0,2,27,156,0,0.2,1.1,0.8,-6000.0,1388008.5487758273,4876816.657571034,-6000.0,6317,0.875,0.875,1,7
1515,2006-06-28,2323,15.33,44.0145,7.5893,6.0,2,36,72,0,0.36,0.8,1.0,-6000.0,1386950.4196571715,4874468.178261864,-6000.0,6387,1.25,1.0,1,7
