,Data,Ora,Sec,Latitud.,Longit.,Prof.,Mag,Nf,Gap,Dst,Rms,Erh,Erz,Prof corr,x,y,z,Deltatime,weight_calc,weights,Classe,Classe_spaziale
85,1987-03-13,1629,51.41,44.0938,8.1295,5.16,2,8,196,14,0.13,1.3,2.5,-5160.0,1430344.1540673745,4882676.924921777,-5160.0,-660,0.08333333333333331,0.08333333333333331,8,0
86,1987-04-17,722,32.67,44.097,8.1307,5.89,2,6,196,14,0.07,11.0,3.9,-5890.0,1430443.96777044,4883031.340618742,-5890.0,-625,0.0,0.0,8,0
89,1987-06-03,840,54.75,44.097,8.1358,7.3,2,7,198,14,0.08,7.0,7.2,-7300.0,1430852.1982641579,4883027.041153976,-7300.0,-578,0.041666666666666685,0.041666666666666685,8,0
90,1987-06-10,937,29.41,44.0938,8.1347,5.73,2,7,198,14,0.09,5.6,3.3,-5730.0,1430760.4115370058,4882672.535354942,-5730.0,-571,0.041666666666666685,0.041666666666666685,8,0
92,1987-07-07,1522,28.51,44.1088,8.1475,9.52,2,6,199,12,0.03,10.2,4.4,-9520.0,1431802.3052706195,4884327.926582708,-9520.0,-544,0.0,0.0,8,0
93,1987-07-13,1200,19.55,44.0917,8.1683,7.46,2,6,213,13,0.05,2.9,2.1,-7460.0,1433447.7176391536,4882411.554431316,-7460.0,-538,0.0,0.0,8,0
96,1987-08-04,1704,40.74,44.0927,8.1567,5.98,2,6,208,14,0.05,4.5,3.8,-5980.0,1432520.248726648,4882532.075716736,-5980.0,-516,0.0,0.0,8,0
97,1987-12-17,1536,9.75,44.1057,8.141,4.02,2,6,197,13,0.05,9.8,4.6,-4019.9999999999995,1431278.5204028208,4883989.012380017,-4019.9999999999995,-381,0.0,0.0,8,0
