,Data,Ora,Sec,Latitud.,Longit.,Prof.,Mag,Nf,Gap,Dst,Rms,Erh,Erz,Prof corr,x,y,z,Deltatime,weight_calc,weights,Classe,Classe_spaziale
698,2011-10-02,1813,3.37,44.5998,9.4178,6.71,2,36,102,19,0.17,0.7,0.9,-6710.0,1533185.3970439031,4938597.82562051,-6710.0,8309,1.25,1.0,4,1
699,2011-10-02,1818,15.28,44.5987,9.4165,6.86,2,38,84,19,0.2,0.8,1.3,-6860.0,1533082.8475952134,4938475.108793855,-6860.0,8309,1.3333333333333333,1.0,4,1
700,2011-10-02,2211,43.1,44.5998,9.4178,8.74,2,32,102,19,0.22,1.0,1.6,-8740.0,1533185.3970439031,4938597.82562051,-8740.0,8309,1.0833333333333333,1.0,4,1
701,2011-10-04,444,19.31,44.5998,9.4205,7.37,2,24,114,19,0.21,1.1,1.4,-7370.0,1533399.6786414927,4938598.925433381,-7370.0,8311,0.75,0.75,4,1
705,2011-10-06,1711,46.71,44.5912,9.4178,8.12,2,32,101,20,0.27,0.9,1.6,-8119.999999999999,1533190.2840076375,4937642.524046515,-8119.999999999999,8313,1.0833333333333333,1.0,4,1
706,2011-10-11,643,32.66,44.5977,9.4048,7.02,2,8,144,19,0.06,2.8,3.7,-7020.0,1532154.827082829,4938359.358042346,-7020.0,8318,0.08333333333333331,0.08333333333333331,4,1
