,Data,Ora,Sec,Latitud.,Longit.,Prof.,Mag,Nf,Gap,Dst,Rms,Erh,Erz,Prof corr,x,y,z,Deltatime,weight_calc,weights,Classe,Classe_spaziale
593,2000-12-28,1626,34.04,43.978,7.7942,2.94,2,8,149,11,0.06,1.1,1.1,-2940.0,1403315.2695919257,4870153.404693117,-2940.0,4379,0.08333333333333331,0.08333333333333331,0,8
1120,2000-02-17,1014,7.51,43.9373,7.7842,6.0,2,15,104,0,0.08,1.1,0.4,-6000.0,1402446.5974219686,4865644.6291480465,-6000.0,4064,0.375,0.375,0,8
1145,2000-12-08,226,6.71,43.9683,7.8317,2.35,2,10,165,0,0.34,2.8,2.3,-2350.0,1406307.7305986665,4869032.734881159,-2350.0,4359,0.16666666666666669,0.16666666666666669,0,8
1164,2001-04-05,1014,0.08,43.9758,7.7967,2.46,2,14,103,0,0.13,1.3,1.4,-2460.0,1403512.2194304105,4869906.121444545,-2460.0,4477,0.33333333333333337,0.33333333333333337,0,8
1185,2001-11-24,52,53.48,43.9565,7.7995,6.0,2,10,103,0,0.13,3.1,8.0,-6000.0,1403705.6089603354,4867759.194692048,-6000.0,4710,0.16666666666666669,0.16666666666666669,0,8
1206,2002-10-29,1107,7.52,43.9502,7.8022,6.0,2,22,94,0,0.18,0.8,0.8,-6000.0,1403912.0854150846,4867056.305753103,-6000.0,5049,0.6666666666666666,0.6666666666666666,0,8
1216,2003-07-09,1347,14.1,43.9545,7.8047,6.0,2,18,96,0,0.18,0.6,0.5,-6000.0,1404119.6121383668,4867530.997420721,-6000.0,5302,0.5,0.5,0,8
1219,2003-08-28,1612,35.55,43.948,7.8047,6.0,2,14,96,0,0.13,0.6,0.7,-6000.0,1404109.1543030266,4866809.043228055,-6000.0,5352,0.33333333333333337,0.33333333333333337,0,8
1225,2004-03-10,1616,55.34,43.9565,7.802,6.0,2,29,97,0,0.18,0.6,0.5,-6000.0,1403906.1960906824,4867756.279217172,-6000.0,5547,0.9583333333333333,0.9583333333333333,0,8
1710,1995-09-21,1900,28.11,43.9652,7.802,4.36,2,28,79,0,0.22,0.9,1.0,-4360.0,1403920.227579836,4868722.588731196,-4360.0,2454,0.9166666666666667,0.9166666666666667,0,8
1758,1997-10-06,1617,53.81,43.963,7.789,3.21,2,36,113,0,0.17,0.7,0.5,-3210.0,1402873.7397823385,4868493.461437581,-3210.0,3200,1.25,1.0,0,8
1774,1998-06-05,1310,26.65,43.9243,7.774,3.87,2,17,114,0,0.11,2.3,1.0,-3870.0,1401606.493218395,4864212.834667783,-3870.0,3442,0.45833333333333337,0.45833333333333337,0,8
1803,1999-05-22,1041,17.73,43.9652,7.7813,4.71,2,26,82,0,0.22,1.1,1.0,-4710.0,1402259.6083851291,4868746.912323523,-4710.0,3793,0.8333333333333333,0.8333333333333333,0,8
1809,1999-10-21,514,37.43,43.918,7.7715,5.07,2,10,221,0,0.07,1.2,0.9,-5070.0,1401395.3858016988,4863516.081072744,-5070.0,3945,0.16666666666666669,0.16666666666666669,0,8
