,Data,Ora,Sec,Latitud.,Longit.,Prof.,Mag,Nf,Gap,Dst,Rms,Erh,Erz,Prof corr,x,y,z,Deltatime,weight_calc,weights,Classe,Classe_spaziale
1134,2000-11-17,1205,28.67,43.858,7.5188,3.96,2,18,257,0,0.17,1.9,1.3,-3960.0,1380987.4090666608,4857184.84719838,-3960.0,4338,0.5,0.5,0,15
1135,2000-11-26,14,42.32,43.8815,7.503,3.61,2,33,131,0,0.21,0.8,0.5,-3610.0,1379764.8821908692,4859817.843472889,-3610.0,4347,1.125,1.0,0,15
1139,2000-12-02,508,15.65,43.8772,7.516,4.49,2,27,135,0,0.32,0.7,0.7,-4490.0,1380800.67376589,4859321.405535723,-4490.0,4353,0.875,0.875,0,15
1141,2000-12-02,510,48.07,43.8708,7.5162,4.63,2,32,138,0,0.16,0.6,0.5,-4630.0,1380803.977603886,4858610.275573029,-4630.0,4353,1.0833333333333333,1.0,0,15
1142,2000-12-06,521,2.54,43.8697,7.5433,5.89,2,18,195,0,0.16,1.4,1.7,-5890.0,1382979.3222390432,4858449.358012514,-5890.0,4357,0.5,0.5,0,15
1161,2001-01-22,1823,59.82,43.8783,7.5845,4.56,2,16,191,0,0.1,1.2,0.5,-4560.0,1386306.184021721,4859347.019387239,-4560.0,4404,0.41666666666666663,0.41666666666666663,0,15
1162,2001-01-27,1353,4.52,43.8687,7.5265,4.98,2,29,141,0,0.17,0.6,0.5,-4980.0,1381627.4288305566,4858362.222046858,-4980.0,4409,0.9583333333333333,0.9583333333333333,0,15
1163,2001-02-15,1327,5.61,43.8622,7.5265,5.07,2,16,243,0,0.11,0.8,0.4,-5070.0,1381614.556870108,4857640.274911695,-5070.0,4428,0.41666666666666663,0.41666666666666663,0,15
1864,2000-11-17,1205,29.03,43.8827,7.538,4.21,2,24,243,5,0.14,1.1,0.5,-4210.0,1382579.0048664126,4859900.775146566,-4210.0,4338,0.75,0.75,0,15
1865,2000-11-18,227,13.97,43.8805,7.5508,5.76,2,22,251,28,0.2,1.6,2.4,-5760.0,1383603.0000163137,4859638.306613703,-5760.0,4339,0.6666666666666666,0.6666666666666666,0,15
1871,2001-02-15,1327,5.55,43.8643,7.5265,4.58,2,17,242,6,0.12,0.9,0.5,-4580.0,1381618.7153358846,4857873.519286569,-4580.0,4428,0.45833333333333337,0.45833333333333337,0,15
