,Data,Ora,Sec,Latitud.,Longit.,Prof.,Mag,Nf,Gap,Dst,Rms,Erh,Erz,Prof corr,x,y,z,Deltatime,weight_calc,weights,Classe,Classe_spaziale
979,2000-07-27,521,36.91,44.2568,10.0543,2.37,2,6,173,15,0.02,8.4,7.0,-2370.0,1584191.0122192635,4900953.314134652,-2370.0,4225,0.0,0.0,0,10
980,2000-08-08,2304,58.02,44.2213,10.115,6.51,2,6,170,7,0.01,2.4,0.8,-6510.0,1589090.182775038,4897074.150507741,-6510.0,4237,0.0,0.0,0,10
986,2001-07-22,245,2.26,44.216,10.0618,6.26,2,16,159,7,0.09,1.0,0.7,-6260.0,1584848.3097010488,4896429.165780921,-6260.0,4585,0.41666666666666663,0.41666666666666663,0,10
991,2003-09-24,1828,48.18,44.216,10.0643,9.19,2,16,164,7,0.07,0.5,0.3,-9190.0,1585048.0211778004,4896431.749267922,-9190.0,5379,0.41666666666666663,0.41666666666666663,0,10
1064,1995-10-11,5,37.76,44.2225,10.0697,3.74,2,6,183,11,0.04,7.0,3.5,-3740.0,1585469.999298927,4897159.336221307,-3740.0,2474,0.0,0.0,0,10
1065,1995-10-11,1014,2.13,44.1913,10.068,5.09,2,6,165,9,0.01,2.9,2.2,-5090.0,1585379.2423074476,4893692.044964503,-5090.0,2474,0.0,0.0,0,10
1067,1995-10-13,13,46.66,44.2557,10.0738,0.49,2,4,313,14,0.04,15.2,8.8,-490.0,1585749.2830923982,4900851.302116529,-490.0,2476,-0.08333333333333334,0.0,0,10
1068,1995-10-13,714,5.09,44.23,10.0995,1.9,2,4,243,11,0.02,15.1,9.4,-1900.0,1587839.1502738402,4898023.818073271,-1900.0,2476,-0.08333333333333334,0.0,0,10
1070,1995-10-15,338,3.89,44.2213,10.0787,1.37,2,4,230,11,0,20.5,11.6,-1370.0,1586190.6314026047,4897035.444670748,-1370.0,2478,-0.08333333333333334,0.0,0,10
1071,1995-10-15,710,9.66,44.216,10.0643,4.8,2,17,136,11,0.14,1.1,0.8,-4800.0,1585048.0211778004,4896431.749267922,-4800.0,2478,0.45833333333333337,0.45833333333333337,0,10
1076,1995-10-24,1938,23.32,44.2407,10.0867,3.1,2,4,194,20,0,32.1,15.5,-3100.0,1586801.1473235337,4899198.719563187,-3100.0,2487,-0.08333333333333334,0.0,0,10
1080,1995-12-10,259,40.87,44.2042,10.0733,4.91,2,8,173,9,0.07,1.6,1.5,-4910.0,1585784.0993780075,4895130.4200951755,-4910.0,2534,0.08333333333333331,0.08333333333333331,0,10
1082,1995-12-21,946,46.04,44.2342,10.0943,1.02,2,6,191,11,0.07,8.7,4.7,-1020.0,1587417.634554964,4898484.78820899,-1020.0,2545,0.0,0.0,0,10
1083,1995-12-29,223,47.66,44.2288,10.0903,1.04,2,6,187,11,0.05,7.7,4.3,-1040.0,1587106.1549329392,4897880.735739149,-1040.0,2553,0.0,0.0,0,10
1088,1996-02-12,923,30.69,44.2342,10.0683,2.79,2,6,189,12,0.03,2.8,3.0,-2790.0,1585341.2749106567,4898457.457920331,-2790.0,2598,0.0,0.0,0,10
1089,1996-03-09,1727,19.76,44.2342,10.0892,0.84,2,7,190,12,0.01,1.1,0.8,-840.0,1587010.3485847681,4898479.375428681,-840.0,2624,0.041666666666666685,0.041666666666666685,0,10
1093,1996-06-10,559,57.05,44.231,10.1008,1.0,2,6,189,11,0.07,7.9,3.5,-1000.0,1587941.4873432992,4898136.283412098,-1000.0,2717,0.0,0.0,0,10
1095,1996-07-01,3,2.79,44.2332,10.0957,1.0,2,6,190,11,0.04,5.2,2.9,-1000.0,1587530.9200544867,4898375.20344668,-1000.0,2738,0.0,0.0,0,10
1099,1996-07-21,2140,56.51,44.2213,10.0942,4.03,2,15,140,10,0.18,1.4,1.4,-4030.0000000000005,1587428.731726716,4897051.81516089,-4030.0000000000005,2758,0.375,0.375,0,10
1100,1996-07-24,2118,59.2,44.202,10.0707,4.07,2,22,167,9,0.18,1.5,0.9,-4070.0000000000005,1585579.541074231,4894883.346884698,-4070.0000000000005,2761,0.6666666666666666,0.6666666666666666,0,10
1101,1996-07-31,2336,33.71,44.2235,10.0865,1.15,2,6,184,11,0.04,5.2,2.8,-1150.0,1586810.4441475524,4897288.018133929,-1150.0,2768,0.0,0.0,0,10
1102,1996-08-09,308,45.76,44.2342,10.084,4.83,2,6,190,12,0.01,9.4,4.8,-4830.0,1586595.0766353342,4898473.882563935,-4830.0,2777,0.0,0.0,0,10
1103,1996-08-16,543,17.85,44.2385,10.084,1.55,2,6,192,12,0.05,7.9,4.0,-1550.0,1586588.7739275708,4898951.505437602,-1550.0,2784,0.0,0.0,0,10
1104,1996-09-02,1442,28.94,44.2257,10.0838,1.82,2,6,185,11,0.05,6.1,2.8,-1820.0,1586591.5597357007,4897529.534612154,-1820.0,2801,0.0,0.0,0,10
1105,1996-09-21,407,34.68,44.2257,10.0942,2.7,2,7,186,10,0.03,1.9,1.1,-2700.0,1587422.2232388498,4897540.5445267605,-2700.0,2820,0.041666666666666685,0.041666666666666685,0,10
1107,1996-12-14,1357,34.86,44.1775,10.064,5.16,2,7,157,8,0.03,2.7,0.9,-5160.0,1585079.4055606695,4892155.077609356,-5160.0,2904,0.041666666666666685,0.041666666666666685,0,10
1108,1996-12-21,1304,24.0,44.2063,10.076,3.1,2,6,174,9,0.03,7.1,3.5,-3100.0,1585996.7772629098,4895366.497125961,-3100.0,2911,0.0,0.0,0,10
1109,1997-03-21,806,6.64,44.2172,10.0787,5.0,2,6,180,10,0.03,3.2,1.3,-5000.0,1586196.6097110447,4896580.0381570235,-5000.0,3001,0.0,0.0,0,10
1114,1999-03-27,203,3.71,44.2053,10.0565,3.52,2,6,271,10,0.05,2.8,1.9,-3520.0,1584440.1996610211,4895235.210950726,-3520.0,3737,0.0,0.0,0,10
