,Data,Ora,Sec,Latitud.,Longit.,Prof.,Mag,Nf,Gap,Dst,Rms,Erh,Erz,Prof corr,x,y,z,Deltatime,weight_calc,weights,Classe,Classe_spaziale
491,1990-04-14,2009,20.44,44.5312,8.7888,7.19,2,14,260,19,0.27,2.4,2.0,-7190.0,1483245.9949898561,4930914.684556707,-7190.0,468,0.33333333333333337,0.33333333333333337,10,0
493,1990-04-21,942,55.56,44.5118,8.7992,7.46,2,14,279,20,0.16,2.3,1.5,-7460.0,1484067.041781161,4928757.643637893,-7460.0,475,0.33333333333333337,0.33333333333333337,10,0
494,1990-04-21,1153,29.57,44.5118,8.7915,7.68,2,12,279,20,0.06,1.8,1.4,-7680.0,1483455.0209237635,4928759.178725488,-7680.0,475,0.25,0.25,10,0
496,1990-04-21,1827,54.13,44.5098,8.7992,7.95,2,10,332,21,0.07,2.7,2.1,-7950.0,1484066.4950291575,4928535.483861957,-7950.0,475,0.16666666666666669,0.16666666666666669,10,0
497,1990-04-30,1833,57.17,44.5043,8.7928,9.34,2,16,286,20,0.15,1.9,1.6,-9340.0,1483556.233666165,4927925.816745402,-9340.0,484,0.41666666666666663,0.41666666666666663,10,0
498,1990-04-30,1913,44.82,44.4968,8.7758,10.65,2,14,285,19,0.17,2.3,1.4,-10650.0,1482202.5570567888,4927096.290892694,-10650.0,484,0.33333333333333337,0.33333333333333337,10,0
500,1990-05-02,2338,29.63,44.5077,8.7992,7.9,2,12,262,21,0.12,1.8,2.0,-7900.0,1484065.920960626,4928302.216181168,-7900.0,486,0.25,0.25,10,0
