,Data,Ora,Sec,Latitud.,Longit.,Prof.,Mag,Nf,Gap,Dst,Rms,Erh,Erz,Prof corr,x,y,z,Deltatime,weight_calc,weights,Classe,Classe_spaziale
75,1985-10-04,1313,4.62,44.0885,8.167,8.42,2,6,214,14,0.05,3.7,4.1,-8420.0,1433340.0524140375,4882057.176308143,-8420.0,-1185,0.0,0.0,7,0
76,1985-10-08,1029,27.91,44.0927,8.1463,8.14,2,6,204,14,0.03,3.2,2.7,-8140.000000000001,1431687.718492131,4882540.65864804,-8140.000000000001,-1181,0.0,0.0,7,0
77,1985-10-08,1625,38.47,44.097,8.1358,2.7,2,6,198,14,0.06,3.2,2.6,-2700.0,1430852.1982641579,4883027.041153976,-2700.0,-1181,0.0,0.0,7,0
79,1985-12-20,1519,2.88,44.097,8.1358,5.98,2,6,198,14,0.08,10.5,4.1,-5980.0,1430852.1982641579,4883027.041153976,-5980.0,-1108,0.0,0.0,7,0
82,1986-04-01,1251,45.91,44.0982,8.1398,6.0,2,8,199,13,0.06,1.2,1.3,-6000.0,1431173.772209315,4883156.973390235,-6000.0,-1006,0.08333333333333331,0.08333333333333331,7,0
84,1986-10-17,1314,34.61,44.0917,8.1477,3.9,2,6,205,14,0.02,1.2,2.4,-3900.0,1431798.6396648488,4882428.4250148935,-3900.0,-807,0.0,0.0,7,0
189,1985-11-26,1141,25.08,44.0982,8.145,5.69,2,6,201,13,0.05,2.8,2.1,-5690.0,1431589.9987695972,4883152.635883341,-5690.0,-1132,0.0,0.0,7,0
194,1986-07-31,1714,23.38,44.1067,8.1448,3.12,2,6,259,12,0.02,5.4,3.7,-3120.0,1431583.8019213243,4884096.916866216,-3120.0,-885,0.0,0.0,7,0
