,Data,Ora,Sec,Latitud.,Longit.,Prof.,Mag,Nf,Gap,Dst,Rms,Erh,Erz,Prof corr,x,y,z,Deltatime,weight_calc,weights,Classe,Classe_spaziale
25,2001-01-21,1003,50.27,44.1142,8.0737,2.88,2,16,167,15,0.19,0.8,1.2,-2880.0,1425902.89654105,4884991.560482716,-2880.0,4403,0.41666666666666663,0.41666666666666663,0,1
27,2001-04-10,1540,23.49,44.0927,8.022,8.54,2,8,233,21,0.02,0.8,1.2,-8540.0,1421737.3751309821,4882651.381879721,-8540.0,4482,0.08333333333333331,0.08333333333333331,0,1
37,2001-10-08,1242,51.53,44.0638,8.0468,4.46,2,16,177,6,0.1,0.7,0.6,-4460.0,1423685.4756426762,4879418.111528359,-4460.0,4663,0.41666666666666663,0.41666666666666663,0,1
39,2001-10-30,841,5.65,44.1132,8.062,3.34,2,10,163,16,0.04,1.0,3.1,-3340.0,1424965.3724658154,4884891.095642923,-3340.0,4685,0.16666666666666669,0.16666666666666669,0,1
41,2001-10-31,2201,27.49,44.1152,8.0672,3.38,2,12,164,15,0.07,1.0,1.9,-3380.0,1425384.0127012786,4885108.509872655,-3380.0,4686,0.25,0.25,0,1
55,2004-02-06,1218,50.69,44.0852,8.0312,2.45,2,16,164,4,0.12,1.6,1.4,-2450.0,1422464.0401345016,4881809.63061341,-2450.0,5514,0.41666666666666663,0.41666666666666663,0,1
129,1995-05-19,1121,15.16,44.0873,8.0855,3.21,2,8,182,17,0.08,1.7,3.3,-3210.0,1426813.9530927849,4881993.15102325,-3210.0,2329,0.08333333333333331,0.08333333333333331,0,1
131,1995-07-05,1459,25.79,44.0873,8.0467,7.42,2,17,168,19,0.31,1.1,2.8,-7420.0,1423707.689832173,4882028.393864679,-7420.0,2376,0.45833333333333337,0.45833333333333337,0,1
132,1995-07-07,1059,9.2,44.0852,8.026,5.2,2,10,162,20,0.07,1.6,1.6,-5200.0,1422047.7219273068,4881814.543495728,-5200.0,2378,0.16666666666666669,0.16666666666666669,0,1
133,1996-01-08,806,31.51,44.1023,8.0568,4.98,2,19,166,17,0.19,0.8,1.6,-4980.0,1424535.3728198048,4883685.162688007,-4980.0,2563,0.5416666666666666,0.5416666666666666,0,1
134,1996-05-21,246,31.7,44.083,8.039,5.69,2,18,167,19,0.12,0.7,0.7,-5690.0,1423085.6647062944,4881557.952040379,-5690.0,2697,0.5,0.5,0,1
135,1996-05-24,606,6.54,44.0863,8.0143,4.16,2,14,158,21,0.08,0.7,0.6,-4160.0,1421112.4689309087,4881947.872963824,-4160.0,2700,0.33333333333333337,0.33333333333333337,0,1
162,1999-02-01,1112,54.8,44.0938,8.0803,3.43,2,17,177,16,0.13,1.0,1.1,-3430.0,1426405.7170513312,4882719.758301984,-3430.0,3683,0.45833333333333337,0.45833333333333337,0,1
164,1999-04-30,2059,8.53,44.0595,8.0598,5.51,2,43,133,20,0.24,0.8,1.4,-5510.0,1424721.1933174718,4878928.533907294,-5510.0,3771,1.5416666666666667,1.0,0,1
166,1999-05-14,2215,51.97,44.0702,8.0468,9.19,2,14,175,5,0.14,0.4,0.4,-9190.0,1423693.7044968135,4880128.970642617,-9190.0,3785,0.33333333333333337,0.33333333333333337,0,1
168,1999-07-18,2003,5.77,44.0508,8.0418,3.65,2,22,180,7,0.22,0.8,0.7,-3650.0,1423268.2258515228,4877978.828743772,-3650.0,3850,0.6666666666666666,0.6666666666666666,0,1
1904,1995-04-21,1538,9.43,44.1057,8.0997,3.5,2,20,180,14,0.23,1.8,1.7,-3500.0,1427973.1383491547,4884024.3480394315,-3500.0,2301,0.5833333333333334,0.5833333333333334,0,1
