,Data,Ora,Sec,Latitud.,Longit.,Prof.,Mag,Nf,Gap,Dst,Rms,Erh,Erz,Prof corr,x,y,z,Deltatime,weight_calc,weights,Classe,Classe_spaziale
1121,2000-02-18,22,4.36,43.9587,7.6107,5.2,2,17,101,0,0.22,0.8,0.6,-5200.0,1388561.362364197,4868241.288263079,-5200.0,4065,0.45833333333333337,0.45833333333333337,0,13
1122,2000-02-18,505,39.79,43.9695,7.6132,5.69,2,26,96,0,0.21,0.7,0.6,-5690.0,1388782.1075966707,4869437.4743886115,-5690.0,4065,0.8333333333333333,0.8333333333333333,0,13
1123,2000-02-18,507,31.66,43.9565,7.6055,5.47,2,25,103,0,0.28,0.7,0.6,-5470.0,1388140.0253408474,4868003.972021642,-5470.0,4065,0.7916666666666667,0.7916666666666667,0,13
1127,2000-08-22,925,48.95,43.993,7.5637,5.82,2,14,158,0,0.19,1.6,1.0,-5820.0,1384856.794336856,4872115.586804849,-5820.0,4251,0.33333333333333337,0.33333333333333337,0,13
1133,2000-11-17,413,7.03,43.9202,7.7017,4.8,2,24,139,0,0.16,1.0,0.6,-4800.0,1395795.2138399642,4863846.183945331,-4800.0,4338,0.75,0.75,0,13
1136,2000-11-26,441,11.65,44.0133,7.6268,7.97,2,36,71,0,0.24,0.7,0.3,-7970.0,1389954.0847199236,4874284.129012696,-7970.0,4347,1.25,1.0,0,13
1137,2000-11-26,446,21.59,43.993,7.5845,7.28,2,18,149,0,0.13,0.6,0.8,-7280.0,1386524.6624280508,4872086.7437926335,-7280.0,4347,0.5,0.5,0,13
1138,2000-11-30,1607,32.4,44.037,7.6498,5.62,2,24,108,0,0.14,1.0,1.0,-5620.0,1391840.8617592969,4876886.065099932,-5620.0,4351,0.75,0.75,0,13
1151,2000-12-14,1204,24.88,44.0005,7.6632,6.11,2,16,114,0,0.09,0.7,0.9,-6110.0,1392848.7995865867,4872814.452203939,-6110.0,4365,0.41666666666666663,0.41666666666666663,0,13
1158,2001-01-17,1455,29.0,43.9308,7.6627,7.19,2,23,126,0,0.21,1.1,0.7,-7190.0,1392683.2154040125,4865073.497344712,-7190.0,4399,0.7083333333333334,0.7083333333333334,0,13
1160,2001-01-18,1457,51.97,43.9415,7.6937,4.27,2,12,143,0,0.22,8.2,4.3,-4270.0,1395190.381401587,4866222.098822984,-4270.0,4400,0.25,0.25,0,13
1167,2001-05-16,1007,10.75,43.9373,7.7118,5.82,2,20,83,0,0.12,0.5,0.4,-5820.0,1396635.7187277295,4865732.773048248,-5820.0,4518,0.5833333333333334,0.5833333333333334,0,13
1168,2001-05-16,1410,40.19,43.9265,7.7015,8.52,2,12,88,0,0.11,0.7,0.5,-8520.0,1395790.162701615,4864546.174463535,-8520.0,4518,0.25,0.25,0,13
1172,2001-07-18,1342,48.29,43.9908,7.5715,6.0,2,20,155,0,0.13,1.0,1.0,-6000.0,1385478.0115775398,4871860.36513031,-6000.0,4581,0.5833333333333334,0.5833333333333334,0,13
1173,2001-07-28,1656,47.55,44.008,7.5998,5.6,2,22,88,0,0.14,0.5,0.5,-5600.0,1387779.8036726166,4873731.86298466,-5600.0,4591,0.6666666666666666,0.6666666666666666,0,13
1191,2002-03-13,425,20.13,43.9802,7.5923,6.0,2,26,146,0,0.23,0.8,1.2,-6000.0,1387125.8434258024,4870654.32889522,-6000.0,4819,0.8333333333333333,0.8333333333333333,0,13
1192,2002-03-26,1935,28.86,43.9855,7.5832,6.07,2,17,150,0,0.2,1.5,0.9,-6070.0,1386406.1077039375,4871255.502069851,-6070.0,4832,0.45833333333333337,0.45833333333333337,0,13
1201,2002-05-25,948,51.72,44.0358,7.6563,5.69,2,30,68,0,0.19,0.6,0.8,-5690.0,1392359.5106673772,4876744.264307682,-5690.0,4892,1.0,1.0,0,13
1207,2002-10-30,1309,22.55,44.0102,7.6333,6.0,2,24,125,0,0.18,0.6,0.8,-6000.0,1390469.4060981297,4873931.148140952,-6000.0,5050,0.75,0.75,0,13
1209,2003-04-03,527,13.92,43.949,7.6432,4.87,2,24,57,0,0.2,0.7,0.6,-4870.0,1391151.1895749667,4867120.512821511,-4870.0,5205,0.75,0.75,0,13
1217,2003-08-01,1731,48.23,43.948,7.5875,4.8,2,27,78,0,0.25,0.6,0.6,-4800.0,1386679.632352403,4867084.4417780405,-4800.0,5325,0.875,0.875,0,13
1218,2003-08-12,2329,19.71,43.9565,7.5978,5.6,2,35,47,0,0.2,0.5,0.4,-5600.0,1387522.2151369976,4868014.44264955,-5600.0,5336,1.2083333333333333,1.0,0,13
1224,2003-12-29,2103,24.96,43.9255,7.6977,7.48,2,29,136,0,0.23,0.7,1.0,-7480.0,1395483.364261081,4864439.910010341,-7480.0,5475,0.9583333333333333,0.9583333333333333,0,13
1230,2004-06-27,1152,26.88,43.9458,7.5877,7.11,2,18,79,0,0.17,0.7,0.6,-7110.0,1386691.4997594159,4866839.812731232,-7110.0,5656,0.5,0.5,0,13
1688,1994-09-12,1016,53.83,43.9555,7.6302,6.42,2,13,149,0,0.18,2.5,2.4,-6420.0,1390119.9876249714,4867859.703352246,-6420.0,2080,0.29166666666666663,0.29166666666666663,0,13
1689,1994-09-18,2127,22.23,43.963,7.7193,6.04,2,18,131,0,0.16,2.4,2.1,-6040.0,1397281.9768453527,4868577.904224918,-6040.0,2086,0.5,0.5,0,13
1691,1994-12-12,1747,12.54,43.918,7.7068,5.07,2,33,72,0,0.24,0.8,0.8,-5070.0,1396200.8340609497,4863595.405314154,-5070.0,2171,1.125,1.0,0,13
1694,1995-03-08,922,40.77,43.8965,7.658,4.45,2,32,103,0,0.25,1.0,0.8,-4450.0,1392244.0321504017,4861269.938794236,-4450.0,2257,1.0833333333333333,1.0,0,13
1695,1995-04-04,134,49.26,43.9887,7.6413,4.4,2,27,64,0,4,0.8,0.9,-4400.0,1391071.3527612307,4871532.51903248,-4400.0,2284,0.875,0.875,0,13
1699,1995-05-02,441,59.98,43.9052,7.7122,5.25,2,16,99,0,0.19,1.1,1.1,-5250.0,1396612.2110275417,4862166.9421421895,-5250.0,2312,0.41666666666666663,0.41666666666666663,0,13
1700,1995-05-20,19,8.95,44.0508,7.6225,6.0,2,34,70,0,0.22,0.6,0.9,-6000.0,1389679.036738826,4878455.067840859,-6000.0,2330,1.1666666666666667,1.0,0,13
1701,1995-05-23,818,48.0,44.0338,7.602,6.04,2,8,197,0,0.13,3.6,3.4,-6040.0,1388004.7795074217,4876594.5140761295,-6040.0,2333,0.08333333333333331,0.08333333333333331,0,13
1702,1995-05-25,344,10.73,43.993,7.6258,11.36,2,18,93,0,0.27,1.0,0.5,-11360.0,1389836.341208199,4872030.721095777,-11360.0,2335,0.5,0.5,0,13
1708,1995-08-15,6,6.71,44.0295,7.6538,6.0,2,36,65,0,0.26,0.6,0.7,-6000.0,1392147.7574696052,4876047.783121988,-6000.0,2417,1.25,1.0,0,13
1713,1995-10-23,1627,15.18,43.9308,7.7042,5.11,2,14,133,0,0.21,1.3,0.9,-5110.0,1396014.4030091157,4865020.368187529,-5110.0,2486,0.33333333333333337,0.33333333333333337,0,13
1715,1996-04-25,1020,46.54,44.0338,7.6435,11.05,2,12,189,0,0.04,0.9,1.0,-11050.0,1391330.21250983,4876538.927681317,-11050.0,2671,0.25,0.25,0,13
1717,1996-09-08,855,28.99,43.964,7.6197,8.72,2,18,80,0,0.13,0.5,0.3,-8720.0,1389293.3002456408,4868817.841392934,-8720.0,2807,0.5,0.5,0,13
1718,1996-09-08,1746,12.17,43.963,7.6235,6.0,2,15,169,0,0.18,1.4,1.0,-6000.0,1389596.3018868365,4868701.677352591,-6000.0,2807,0.375,0.375,0,13
1721,1996-09-13,457,27.03,43.9512,7.6095,6.07,2,26,62,0,0.21,0.5,0.8,-6070.0,1388451.0453679794,4867409.883177188,-6070.0,2812,0.8333333333333333,0.8333333333333333,0,13
1722,1996-09-14,1434,58.78,43.9502,7.616,6.0,2,26,65,0,0.2,0.6,0.3,-6000.0,1388970.756852285,4867290.044391957,-6000.0,2813,0.8333333333333333,0.8333333333333333,0,13
1723,1996-09-18,2030,11.44,43.948,7.6187,7.28,2,31,64,0,0.31,0.7,0.9,-7280.0,1389183.3241860573,4867042.0598139055,-7280.0,2817,1.0416666666666667,1.0,0,13
1724,1996-09-19,529,40.14,43.9502,7.6212,6.0,2,18,87,0,0.27,0.8,0.6,-6000.0,1389388.0233194367,4867283.059102666,-6000.0,2818,0.5,0.5,0,13
1725,1996-09-20,547,27.03,43.9587,7.621,8.52,2,39,46,0,0.28,0.9,0.5,-8520.0,1389387.7531077834,4868227.424312721,-8520.0,2819,1.375,1.0,0,13
1726,1996-09-20,1458,19.94,43.9652,7.6183,11.36,2,28,79,0,0.24,0.8,0.4,-11360.0,1389183.217615395,4868953.006053592,-11360.0,2819,0.9166666666666667,0.9166666666666667,0,13
1727,1996-09-20,1459,15.72,43.9662,7.6223,5.4,2,23,78,0.015.980,1.3,1.5,,-5400.0,1389505.9659519712,4869058.709705462,-5400.0,2819,0.7083333333333334,0.7083333333333334,0,13
1728,1996-09-26,2137,36.07,43.9652,7.6235,5.69,2,51,65,0,0.27,0.6,0.9,-5690.0,1389600.379046942,4868946.032259,-5690.0,2825,1.875,1.0,0,13
1729,1996-09-27,908,33.87,43.9587,7.6185,8.52,2,32,57,0,0.19,0.8,0.5,-8520.0,1389187.1728426584,4868230.779866281,-8520.0,2826,1.0833333333333333,1.0,0,13
1730,1996-09-27,914,21.16,43.9587,7.6288,8.52,2,28,67,0,0.22,0.8,0.5,-8520.0,1390013.5634839223,4868216.994055097,-8520.0,2826,0.9166666666666667,0.9166666666666667,0,13
1731,1996-09-27,1701,31.19,43.948,7.616,11.36,2,31,56,0,0.3,1.4,0.7,-11360.0,1388966.6585965415,4867045.690062967,-11360.0,2826,1.0416666666666667,1.0,0,13
1732,1996-10-05,1841,53.12,43.962,7.6275,7.97,2,21,117,0,0.25,0.7,0.3,-7970.0,1389915.3593079054,4868585.260431055,-7970.0,2834,0.625,0.625,0,13
1733,1996-10-06,920,14.15,43.9458,7.598,6.0,2,14,147,0,0.23,1.3,1.0,-6000.0,1387518.0696927363,4866825.718607508,-6000.0,2835,0.33333333333333337,0.33333333333333337,0,13
1734,1996-10-08,1011,11.7,43.9577,7.612,5.93,2,22,137,0,0.24,0.7,0.9,-5930.0,1388663.7955771193,4868128.462430496,-5930.0,2837,0.6666666666666666,0.6666666666666666,0,13
1739,1996-11-24,27,7.43,44.038,7.659,3.56,2,73,29,0,0.35,0.7,0.7,-3560.0,1392579.8340203422,4876985.097216324,-3560.0,2884,2.7916666666666665,1.0,0,13
1740,1996-11-26,1208,59.35,44.0208,7.6462,8.52,2,11,147,0,0.1,0.6,1.0,-8520.0,1391522.8436433014,4875091.439275711,-8520.0,2886,0.20833333333333331,0.20833333333333331,0,13
1741,1996-12-29,1018,40.03,44.0145,7.592,4.54,2,67,79,0,0.3,0.6,0.5,-4540.0,1387166.8434815076,4874464.47758121,-4540.0,2919,2.5416666666666665,1.0,0,13
1742,1997-01-23,324,57.03,44.0208,7.641,6.0,2,22,82,0,0.17,1.1,0.8,-6000.0,1391106.0718777012,4875098.298749322,-6000.0,2944,0.6666666666666666,0.6666666666666666,0,13
1743,1997-01-26,1132,0.03,44.0208,7.654,6.0,2,40,58,0,0.24,0.6,0.8,-6000.0,1392148.0012320995,4875081.199379089,-6000.0,2947,1.4166666666666667,1.0,0,13
1744,1997-02-01,1620,15.54,44.0208,7.6513,5.69,2,39,57,0,0.22,0.7,0.5,-5690.0,1391931.6005363585,4875084.737261954,-5690.0,2953,1.375,1.0,0,13
1745,1997-02-04,2344,13.86,43.9427,7.6148,5.71,2,48,55,0,0.36,0.9,0.5,-5710.0,1388860.481820343,4866458.634344103,-5710.0,2956,1.75,1.0,0,13
1746,1997-02-08,1902,42.88,43.9265,7.6395,5.69,2,35,63,0,0.18,0.9,0.3,-5690.0,1390813.0889295663,4864626.328520846,-5690.0,2960,1.2083333333333333,1.0,0,13
1747,1997-03-31,45,22.07,43.918,7.6835,6.0,2,40,63,0,0.18,0.6,0.4,-6000.0,1394330.1518825074,4863624.968824846,-6000.0,3011,1.4166666666666667,1.0,0,13
1749,1997-06-02,432,31.62,43.9265,7.7248,3.92,2,21,89,0,0.16,0.5,0.5,-3920.0,1397660.5778954858,4864517.018475202,-3920.0,3074,0.625,0.625,0,13
1751,1997-08-16,1120,14.34,43.9158,7.6965,6.0,2,44,58,0,0.18,0.5,0.4,-6000.0,1395370.0226406446,4863364.056342551,-6000.0,3149,1.5833333333333333,1.0,0,13
1752,1997-08-16,1127,29.4,43.9137,7.6992,6.0,2,24,118,0,0.21,0.7,0.6,-6000.0,1395583.1304896951,4863127.391951057,-6000.0,3149,0.75,0.75,0,13
1760,1997-11-05,1954,56.79,43.9512,7.5837,5.36,2,36,56,0,0.22,0.8,0.5,-5360.0,1386380.7957406184,4867445.093057004,-5360.0,3230,1.25,1.0,0,13
1765,1997-12-05,1213,14.13,44.0188,7.6462,6.0,2,26,81,0,0.22,0.9,2.0,-6000.0,1391519.1945621516,4874869.296477992,-6000.0,3260,0.8333333333333333,0.8333333333333333,0,13
1773,1998-05-08,1508,21.31,43.9127,7.6617,5.98,2,32,75,0,0.29,0.9,0.8,-5980.0,1392570.358142403,4863064.439108324,-5980.0,3414,1.0833333333333333,1.0,0,13
1776,1998-09-20,155,55.74,44.0498,7.6393,6.07,2,33,55,0,0.15,0.5,0.7,-6070.0,1391023.0159753275,4878321.62614585,-6070.0,3549,1.125,1.0,0,13
1781,1998-12-07,445,3.93,43.9748,7.6325,5.93,2,18,162,0,0.13,0.7,0.4,-5930.0,1390340.0659412926,4870000.301226495,-5930.0,3627,0.5,0.5,0,13
1782,1998-12-09,125,51.1,43.9673,7.6365,11.36,2,23,99,0,0.27,0.9,0.5,-11360.0,1390647.1377016355,4869161.960732912,-11360.0,3629,0.7083333333333334,0.7083333333333334,0,13
1783,1998-12-10,1259,23.7,43.9545,7.6108,6.71,2,32,103,0,0.3,0.7,0.4,-6710.0,1388561.5311560626,4867774.657919961,-6710.0,3630,1.0833333333333333,1.0,0,13
1784,1998-12-13,5,31.44,43.9652,7.6262,8.52,2,28,64,0,0.21,0.9,0.6,-8520.0,1389816.9820844661,4868942.421623173,-8520.0,3633,0.9166666666666667,0.9166666666666667,0,13
1785,1998-12-13,38,0.69,43.9662,7.6015,3.28,2,12,185,0,0.14,1.4,1.8,-3280.0,1387837.3479976521,4869086.786994718,-3280.0,3633,0.25,0.25,0,13
1787,1998-12-13,838,27.36,43.9673,7.6287,6.0,2,22,166,0,0.2,1.4,1.1,-6000.0,1390021.4177267065,4869172.332693001,-6000.0,3633,0.6666666666666666,0.6666666666666666,0,13
1788,1998-12-14,419,12.93,43.9608,7.6185,6.0,2,34,67,0,0.21,0.7,0.4,-6000.0,1389191.0785060716,4868464.027581998,-6000.0,3634,1.1666666666666667,1.0,0,13
1789,1998-12-14,2131,55.89,43.964,7.6197,5.89,2,27,97,0,0.2,0.7,0.3,-5890.0,1389293.3002456408,4868817.841392934,-5890.0,3634,0.875,0.875,0,13
1790,1998-12-15,549,45.08,43.9737,7.582,5.87,2,35,68,0,0.34,0.7,0.3,-5870.0,1386287.3382278688,4869946.5210708985,-5870.0,3635,1.2083333333333333,1.0,0,13
1791,1998-12-17,1908,41.25,43.9565,7.6237,6.0,2,14,171,0,0.17,1.0,1.0,-6000.0,1389600.3037013784,4867979.452499866,-6000.0,3637,0.33333333333333337,0.33333333333333337,0,13
1792,1998-12-17,1939,19.01,43.9652,7.621,6.0,2,22,96,0,0.22,0.9,0.5,-6000.0,1389399.8206706592,4868949.381762291,-6000.0,3637,0.6666666666666666,0.6666666666666666,0,13
1793,1998-12-17,2233,22.27,43.9545,7.6185,5.78,2,26,101,0,0.22,0.6,0.4,-5780.0,1389179.3619651499,4867764.284677994,-5780.0,3637,0.8333333333333333,0.8333333333333333,0,13
1794,1998-12-20,209,46.29,43.9587,7.6158,6.0,2,34,68,0,0.36,1.0,0.4,-6000.0,1388970.5461473742,4868234.410691827,-6000.0,3640,1.1666666666666667,1.0,0,13
1811,1999-11-03,830,4.74,44.0338,7.6563,6.0,2,16,186,0,0.11,1.2,0.8,-6000.0,1392355.8878239687,4876522.12098955,-6000.0,3958,0.41666666666666663,0.41666666666666663,0,13
1812,1999-11-25,2020,24.76,43.933,7.6885,7.11,2,22,86,0,0.23,0.8,0.7,-7110.0,1394758.0531641832,4865284.624040568,-7110.0,3980,0.6666666666666666,0.6666666666666666,0,13
1813,1999-11-30,515,3.66,44.0208,7.6437,3.61,2,29,118,0,0.2,0.7,0.8,-3610.0,1391322.472606125,4875094.73381683,-3610.0,3985,0.9583333333333333,0.9583333333333333,0,13
