,Data,Ora,Sec,Latitud.,Longit.,Prof.,Mag,Nf,Gap,Dst,Rms,Erh,Erz,Prof corr,z,Deltatime,x,y,weight_calc,weights,Classe,Classe_spaziale
59,2011-10-31,1333,49.33,44.5227,9.4695,13.44,2,10,153,14,0.04,1.1,0.9,-13440.0,-13440.0,8338,1537337.7011777011,4930055.777559474,0.16666666666666669,0.16666666666666669,0,0
60,2011-11-01,750,24.22,44.5227,9.5007,14.94,2,8,175,13,0.03,1.8,0.9,-14940.0,-14940.0,8339,1539817.1170416586,4930070.487195255,0.08333333333333331,0.08333333333333331,0,0
61,2011-11-03,1025,48.49,44.5483,9.454,10.65,2,26,99,17,0.23,1.2,1.5,-10650.0,-10650.0,8341,1536090.1483882156,4932892.480727382,0.8333333333333333,0.8333333333333333,0,0
62,2011-11-10,1625,31.1,44.5387,9.4475,11.38,2,24,96,16,0.14,1.2,1.1,-11380.0,-11380.0,8348,1535579.6676391705,4931823.259801275,0.75,0.75,0,0
63,2011-12-23,1641,16.17,44.5312,9.4307,6.0,2,28,92,16,0.21,1.1,1.0,-6000.0,-6000.0,8391,1534249.352033463,4930982.987744935,0.9166666666666667,0.9166666666666667,0,0
64,2012-01-18,1038,58.08,44.5452,9.471,4.78,2,16,102,16,0.12,0.8,1.1,-4780.0,-4780.0,8417,1537442.5046335377,4932555.772036099,0.41666666666666663,0.41666666666666663,0,0
65,2012-02-07,520,6.02,44.542,9.4488,9.1,2,28,97,17,0.13,0.7,0.9,-9100.0,-9100.0,8437,1535680.9358419129,4932190.391690415,0.9166666666666667,0.9166666666666667,0,0
66,2012-02-17,535,50.59,44.5558,9.38,6.68,2,20,104,21,0.24,1.2,1.5,-6680.0,-6680.0,8447,1530208.18662717,4933695.598801114,0.5833333333333334,0.5833333333333334,0,0
67,2012-02-19,1411,6.28,44.5633,9.4282,6.53,2,38,96,20,0.4,1.1,1.9,-6530.0,-6530.0,8449,1534032.030632378,4934547.633069048,1.3333333333333333,1.0,0,0
69,2012-03-05,1515,6.35,44.557,9.4125,11.27,2,42,98,20,0.29,0.9,1.1,-11270.0,-11270.0,8464,1532788.7752410083,4933841.410061185,1.5,1.0,0,0
70,2012-03-05,1532,24.42,44.5612,9.4177,11.98,2,16,114,20,0.19,1.3,1.7,-11980.0,-11980.0,8464,1533199.3840605144,4934310.047343159,0.41666666666666663,0.41666666666666663,0,0
71,2012-03-05,1541,26.8,44.5633,9.4255,10.51,2,13,114,20,0.25,1.8,2.3,-10510.0,-10510.0,8464,1533817.6149121958,4934546.513058548,0.29166666666666663,0.29166666666666663,0,0
72,2012-03-05,1627,45.48,44.558,9.4033,9.65,2,13,107,20,0.16,1.0,2.2,-9650.0,-9650.0,8464,1532057.5465691632,4933948.844147043,0.29166666666666663,0.29166666666666663,0,0
73,2012-03-07,1325,44.52,44.559,9.4437,9.14,2,10,149,19,0.14,2.1,2.9,-9140.0,-9140.0,8466,1535265.5292093158,4934076.552001405,0.16666666666666669,0.16666666666666669,0,0
74,2012-03-07,1936,16.7,44.5515,9.4163,5.36,2,34,97,19,0.23,0.8,1.9,-5360.0,-5360.0,8466,1533093.6899282564,4933231.99607859,1.1666666666666667,1.0,0,0
75,2012-03-12,907,7.89,44.559,9.4022,6.0,2,20,100,23,0.21,1.1,1.7,-6000.0,-6000.0,8471,1531969.637436117,4934059.494488117,0.5833333333333334,0.5833333333333334,0,0
76,2012-03-15,1610,7.15,44.572,9.4125,5.16,2,12,111,10,0.12,0.9,1.0,-5160.0,-5160.0,8474,1532780.364355153,4935507.624686978,0.25,0.25,0,0
77,2012-03-26,657,44.2,44.542,9.4307,3.7,2,20,153,13,0.23,1.4,1.3,-3700.0,-3700.0,8485,1534243.0319338853,4932182.65647411,0.5833333333333334,0.5833333333333334,0,0
78,2012-05-04,1933,25.34,44.5527,9.441,7.11,2,29,97,13,0.21,1.0,0.8,-7110.0,-7110.0,8524,1535054.873953564,4933375.582159624,0.9583333333333333,0.9583333333333333,0,0
