,Data,Ora,Sec,Latitud.,Longit.,Prof.,Mag,Nf,Gap,Dst,Rms,Erh,Erz,Prof corr,z,Deltatime,x,y,weight_calc,weights,Classe,Classe_spaziale
135,2014-11-30,2147,2.98,44.5783,9.4412,5.82,2,18,112,12,0.26,1.3,1.9,-5820.0,-5820.0,9464,1535055.4050364012,4936219.341535739,0.5,0.5,3,2
136,2014-12-01,1948,22.39,44.5752,9.4555,5.05,2,22,103,13,0.23,0.8,1.0,-5050.0,-5050.0,9465,1536192.6424403298,4935881.22074006,0.6666666666666666,0.6666666666666666,3,2
137,2014-12-01,1953,15.18,44.5752,9.4555,5.22,2,24,103,13,0.25,0.9,1.2,-5220.0,-5220.0,9465,1536192.6424403298,4935881.22074006,0.75,0.75,3,2
139,2014-12-02,2101,8.57,44.5762,9.4515,4.58,2,18,102,13,0.26,1.3,1.3,-4580.0,-4580.0,9466,1535874.4403594476,4935990.538972699,0.5,0.5,3,2
153,2015-02-10,218,16.53,44.5752,9.445,5.4,2,22,100,13,0.26,1.1,1.0,-5400.0,-5400.0,9536,1535358.9734948375,4935876.626136313,0.6666666666666666,0.6666666666666666,3,2
