,Data,Ora,Sec,Latitud.,Longit.,Prof.,Mag,Nf,Gap,Dst,Rms,Erh,Erz,Prof corr,z,Deltatime,x,y,weight_calc,weights,Classe,Classe_spaziale
18,2011-06-12,257,31.96,44.5505,9.454,6.04,2,38,99,17,0.2,1.2,1.4,-6040.0,-6040.0,8197,1536088.7909439725,4933136.85825102,1.3333333333333333,1.0,0,1
19,2011-06-12,424,9.91,44.5462,9.4385,6.0,2,32,95,18,0.24,1.2,1.8,-6000.0,-6000.0,8197,1534860.1784231062,4932652.489271509,1.0833333333333333,1.0,0,1
25,2011-08-22,1958,22.31,44.5312,9.4513,5.73,2,16,103,16,0.12,1.2,1.3,-5730.0,-5730.0,8268,1535886.1639949984,4930991.816345827,0.41666666666666663,0.41666666666666663,0,1
48,2011-10-20,935,10.81,44.5558,9.4475,5.98,2,20,98,18,0.15,1.2,2.2,-5980.0,-5980.0,8327,1535569.26817677,4933722.738900635,0.5833333333333334,0.5833333333333334,0,1
49,2011-10-20,1228,35.6,44.5633,9.4593,6.44,2,34,102,19,0.17,0.8,1.0,-6440.0,-6440.0,8327,1536501.7821719605,4934561.0451346375,1.1666666666666667,1.0,0,1
51,2011-10-20,1410,43.71,44.5612,9.4645,8.04,2,14,123,18,0.12,0.8,1.4,-8039.999999999999,-8039.999999999999,8327,1536916.0570389875,4934330.109479683,0.33333333333333337,0.33333333333333337,0,1
52,2011-10-20,1627,38.3,44.5312,9.4618,6.0,2,26,98,15,0.2,1.1,1.2,-6000.0,-6000.0,8327,1536720.4613865481,4930996.47516415,0.8333333333333333,0.8333333333333333,0,1
54,2011-10-24,1845,44.36,44.557,9.4412,5.82,2,32,97,19,0.2,0.9,1.0,-5820.0,-5820.0,8331,1535068.1809084495,4933853.315312875,1.0833333333333333,1.0,0,1
55,2011-10-27,1224,24.18,44.5462,9.454,6.18,2,36,98,17,0.22,1.1,1.4,-6180.0,-6180.0,8334,1536091.4440805377,4932659.211360597,1.25,1.0,0,1
63,2011-12-23,1641,16.17,44.5312,9.4307,6.0,2,28,92,16,0.21,1.1,1.0,-6000.0,-6000.0,8391,1534249.352033463,4930982.987744935,0.9166666666666667,0.9166666666666667,0,1
64,2012-01-18,1038,58.08,44.5452,9.471,4.78,2,16,102,16,0.12,0.8,1.1,-4780.0,-4780.0,8417,1537442.5046335377,4932555.772036099,0.41666666666666663,0.41666666666666663,0,1
67,2012-02-19,1411,6.28,44.5633,9.4282,6.53,2,38,96,20,0.4,1.1,1.9,-6530.0,-6530.0,8449,1534032.030632378,4934547.633069048,1.3333333333333333,1.0,0,1
74,2012-03-07,1936,16.7,44.5515,9.4163,5.36,2,34,97,19,0.23,0.8,1.9,-5360.0,-5360.0,8466,1533093.6899282564,4933231.99607859,1.1666666666666667,1.0,0,1
78,2012-05-04,1933,25.34,44.5527,9.441,7.11,2,29,97,13,0.21,1.0,0.8,-7110.0,-7110.0,8524,1535054.873953564,4933375.582159624,0.9583333333333333,0.9583333333333333,0,1
