,Data,Ora,Sec,Latitud.,Longit.,Prof.,Mag,Nf,Gap,Dst,Rms,Erh,Erz,Prof corr,z,Deltatime,x,y,weight_calc,weights,Classe,Classe_spaziale
83,2013-07-31,1254,13.7,44.5312,9.4592,3.25,2,20,119,16,0.28,1.4,1.9,-3250.0,-3250.0,8977,1536513.8734589338,4930995.311563236,0.5833333333333334,0.5833333333333334,1,0
86,2013-10-06,105,37.97,44.542,9.4618,6.0,2,22,121,15,0.3,0.7,0.9,-6000.0,-6000.0,9044,1536713.684544485,4932196.143985521,0.6666666666666666,0.6666666666666666,1,0
87,2013-10-06,256,33.6,44.5333,9.4592,2.5,2,22,98,16,0.27,1.1,1.9,-2500.0,-2500.0,9044,1536512.56326655,4931228.580321975,0.6666666666666666,0.6666666666666666,1,0
88,2013-10-06,328,16.84,44.544,9.4722,5.56,2,24,102,16,0.28,0.8,1.1,-5560.0,-5560.0,9044,1537538.6001281992,4932423.025317346,0.75,0.75,1,0
89,2013-10-13,1925,48.39,44.5312,9.4565,2.9,2,22,97,16,0.26,1.0,1.4,-2900.0,-2900.0,9051,1536299.3398432557,4930994.110167504,0.6666666666666666,0.6666666666666666,1,0
101,2014-01-01,255,17.58,44.5602,9.4372,5.18,2,16,97,13,0.14,0.9,0.9,-5180.0,-5180.0,9131,1534748.5920423553,4934207.066770032,0.41666666666666663,0.41666666666666663,1,0
