,Data,Ora,Sec,Latitud.,Longit.,Prof.,Mag,Nf,Gap,Dst,Rms,Erh,Erz,Prof corr,z,Deltatime,x,y,weight_calc,weights,Classe,Classe_spaziale
105,2014-04-06,1513,3.61,44.5387,9.4112,17.04,2,12,109,12,0.06,0.8,1.3,-17040.0,-17040.0,9226,1532695.7527682402,4931808.113845466,0.25,0.25,2,1
106,2014-04-11,1028,16.19,44.558,9.4033,18.86,2,14,107,10,0.19,1.1,0.8,-18860.0,-18860.0,9231,1532057.5465691632,4933948.844147043,0.33333333333333337,0.33333333333333337,2,1
109,2014-04-17,629,17.78,44.5612,9.4255,17.02,2,18,94,12,0.32,1.3,0.7,-17020.0,-17020.0,9237,1533818.8295291346,4934313.243096012,0.5,0.5,2,1
116,2014-05-23,35,19.0,44.5055,9.3863,20.3,2,14,173,14,0.13,1.6,1.1,-20300.0,-20300.0,9273,1530734.9497441354,4928110.604729112,0.33333333333333337,0.33333333333333337,2,1
122,2014-05-23,1054,48.48,44.5548,9.4125,17.82,2,10,139,11,0.13,2.0,1.6,-17820.0,-17820.0,9273,1532790.0086476144,4933597.03228355,0.16666666666666669,0.16666666666666669,2,1
123,2014-05-23,1609,40.05,44.5268,9.415,19.46,2,14,166,13,0.26,1.8,3.2,-19460.0,-19460.0,9273,1533004.3594746601,4930487.783041379,0.33333333333333337,0.33333333333333337,2,1
