,Data,Ora,Sec,Latitud.,Longit.,Prof.,Mag,Nf,Gap,Dst,Rms,Erh,Erz,Prof corr,z,Deltatime,x,y,weight_calc,weights,Classe,Classe_spaziale
143,2014-12-09,1714,7.37,44.557,9.4488,4.54,2,20,99,14,0.19,0.9,1.6,-4540.0,-4540.0,9473,1535671.7866157414,4933856.6020868495,0.5833333333333334,0.5833333333333334,3,1
148,2014-12-24,44,10.39,44.5612,9.4515,5.2,2,34,100,14,0.27,1.0,1.1,-5200.0,-5200.0,9488,1535883.6478373755,4934324.3229773175,1.1666666666666667,1.0,3,1
164,2015-04-04,2311,21.31,44.5677,9.4515,5.82,2,24,120,13,0.2,1.0,1.3,-5820.0,-5820.0,9589,1535879.6582338642,4935046.349372641,0.75,0.75,3,1
165,2015-04-21,359,31.17,44.5677,9.4463,5.64,2,28,100,13,0.21,0.6,0.2,-5640.0,-5640.0,9606,1535466.740547707,4935044.080787806,0.9166666666666667,0.9166666666666667,3,1
