,Data,Ora,Sec,Latitud.,Longit.,Prof.,Mag,Nf,Gap,Dst,Rms,Erh,Erz,Prof corr,z,Deltatime,x,y,weight_calc,weights,Classe,Classe_spaziale
104,2014-04-03,446,31.75,44.5548,9.4723,5.29,2,18,103,15,0.22,0.7,0.8,-5290.0,-5290.0,9223,1537539.611438806,4933622.742748982,0.5,0.5,2,0
107,2014-04-13,1902,4.63,44.5602,9.4632,4.56,2,26,102,15,0.25,1.1,1.1,-4560.0,-4560.0,9233,1536813.445778327,4934218.4425182985,0.8333333333333333,0.8333333333333333,2,0
108,2014-04-13,1950,27.97,44.5612,9.4645,4.85,2,28,103,15,0.28,0.8,0.9,-4850.0,-4850.0,9233,1536916.0570389875,4934330.109479683,0.9166666666666667,0.9166666666666667,2,0
112,2014-04-18,1911,40.23,44.5602,9.4683,5.62,2,20,133,15,0.22,1.0,1.3,-5620.0,-5620.0,9238,1537218.4747955655,4934220.751049649,0.5833333333333334,0.5833333333333334,2,0
124,2014-07-18,126,38.62,44.5612,9.4697,4.98,2,16,104,15,0.23,1.0,1.1,-4980.0,-4980.0,9329,1537329.020728783,4934332.470105677,0.41666666666666663,0.41666666666666663,2,0
