,Data,Ora,Sec,Latitud.,Longit.,Prof.,Mag,Nf,Gap,Dst,Rms,Erh,Erz,Prof corr,z,Deltatime,x,y,weight_calc,weights,Classe,Classe_spaziale
90,2013-10-28,433,27.66,44.6083,9.2593,5.91,2,26,138,3,0.19,0.8,0.6,-5910.0,-5910.0,9066,1520603.2787722615,4939489.882578779,0.8333333333333333,0.8333333333333333,1,1
91,2013-10-29,2036,28.37,44.6063,9.2645,5.16,2,26,136,2,0.28,1.6,1.1,-5160.0,-5160.0,9067,1521016.6282729306,4939269.041867543,0.8333333333333333,0.8333333333333333,1,1
92,2013-10-30,1538,48.13,44.6105,9.2358,5.07,2,36,142,5,0.23,1.6,0.8,-5070.0,-5070.0,9068,1518737.8024132284,4939728.612310354,1.25,1.0,1,1
93,2013-10-30,1613,35.35,44.618,9.2372,5.4,2,12,144,5,0.15,0.9,0.5,-5400.0,-5400.0,9068,1518846.4720558666,4940562.048210878,0.25,0.25,1,1
94,2013-10-31,652,18.75,44.6063,9.254,6.09,2,18,138,3,0.13,1.1,0.7,-6090.0,-6090.0,9069,1520183.404085814,4939266.397798354,0.5,0.5,1,1
95,2013-11-01,1438,40.52,44.6117,9.2398,5.98,2,18,142,4,0.11,0.8,0.5,-5980.0,-5980.0,9070,1519054.8070178502,4939862.834347108,0.5,0.5,1,1
96,2013-11-12,2348,1.95,44.6298,9.2412,4.71,2,28,147,5,0.25,0.9,0.5,-4710.0,-4710.0,9081,1519159.9563770832,4941873.746256747,0.9166666666666667,0.9166666666666667,1,1
97,2013-11-18,1443,0.68,44.6105,9.2358,5.95,2,24,142,5,0.24,1.5,0.9,-5950.0,-5950.0,9087,1518737.8024132284,4939728.612310354,0.75,0.75,1,1
98,2013-11-25,2253,5.06,44.6127,9.2358,5.87,2,38,125,5,0.26,1.0,0.6,-5870.0,-5870.0,9094,1518737.097094595,4939972.992401241,1.3333333333333333,1.0,1,1
99,2013-12-04,1744,16.76,44.6233,9.2358,5.47,2,38,97,5,0.24,0.9,0.6,-5470.0,-5470.0,9103,1518733.698352158,4941150.461434185,1.3333333333333333,1.0,1,1
100,2013-12-04,1816,5.17,44.6148,9.2412,5.69,2,12,142,4,0.1,0.8,0.6,-5690.0,-5690.0,9103,1519164.8765990331,4940207.515225825,0.25,0.25,1,1
